strategy_id,source_file,file_exists,is_sharpe,deflated_sharpe,max_drawdown,turnover,num_trials,is_sharpe_for_gate,is_sharpe_is,is_ref_from_notes,screen_batch,screened_at,n_oos_rows,oos_batches,first_oos_at,last_oos_at
CAND-5e3284032a17,scripts/backtest/translated/c4_backlog2_wiz_largecap.py,True,-0.893,0.0,-0.1923,0.2105,2,-1.3,-1.3,-1.3,C4-OOS3-BACKLOG2-20260915,2026-09-15 02:September:00,1,C4-OOS3-BACKLOG2-20260915,2026-09-15 02:September:00,2026-09-15 02:September:00
VAL-PB-LOWTURN-035,scripts/backtest/translated/c4_valuation_v2_pb_lowturn.py,True,-0.904,0.0,-0.1002,0.0491,6,-0.424,-0.424,-0.203,C4-OOS3-VAL-20260915,2026-09-15 01:September:54,1,C4-OOS3-VAL-20260915,2026-09-15 01:September:54,2026-09-15 01:September:54
CAND-99873fd0bc17,scripts/backtest/translated/c4_99873fd0bc17_macd_single.py,True,-0.943,0.0,-0.5338,0.98,51,-2.236,-2.236,-2.236,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-bb0b9f37ce93,scripts/backtest/translated/c4_backlog3_div_roe5.py,True,-0.949,0.0,-0.148,0.0491,14,-0.785,-0.785,-0.755,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
CAND-9519cb55d6b7,scripts/backtest/translated/c4_backlog3_peg_ebit_tiny.py,True,-0.966,0.0,-0.1857,0.0491,14,1.187,1.187,0.876,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
VAL-PE-ZZ500-020,scripts/backtest/translated/c4_valuation_pe_zz500.py,True,-0.972,0.0,-0.0236,0.0077,4487,-0.356,-0.356,-0.356,C4-OOS-2024-2026,2026-09-15 18:September:14,1,C4-OOS-2024-2026,2026-09-15 18:September:14,2026-09-15 18:September:14
CAND-38cceabf3946,scripts/backtest/translated/c4_backlog3_mclean_rev_accel.py,True,-0.987,0.0,-0.1213,0.0491,14,-0.647,-0.647,-0.683,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
CAND-b1fb7e2246dd,scripts/backtest/translated/c4_backlog3_peg_ebit_tiny2.py,True,-1.001,0.0,-0.2124,0.0491,14,0.825,0.825,0.824,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
CAND-79ae77fb3af7,scripts/backtest/translated/c4_backlog3_peg_growth_tiny.py,True,-1.118,0.0,-0.2496,0.0491,14,1.005,1.005,0.792,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
CAND-93aa8f5a2bdd,scripts/backtest/translated/c4_93aa8f5a2bdd_multi_period.py,True,-1.132,0.0,-0.4522,0.1015,51,-0.391,-0.391,-0.391,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
VAL-DIV-PRETTY50-010,scripts/backtest/translated/c4_valuation_v2_pretty50_div.py,True,-1.165,0.0,-0.2461,0.2106,6,-2.244,-2.244,-2.2,C4-OOS3-VAL-20260915,2026-09-15 01:September:54,1,C4-OOS3-VAL-20260915,2026-09-15 01:September:54,2026-09-15 01:September:54
CAND-0319395c57a7,scripts/backtest/translated/c4_backlog3_mclean_screen.py,True,-1.166,0.0,-0.2367,0.0491,14,0.58,0.58,0.418,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
CAND-2b351fd05d5f,scripts/backtest/translated/c4_2b351fd05d5f_ultrashort_lowopen.py,True,-1.221,0.0,-0.6939,0.4792,51,-0.673,-0.673,-0.673,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-6cb29d4d9ba8,scripts/backtest/translated/c4_6cb29d4d9ba8_mom_rev_300.py,True,-1.255,0.0,-0.0384,0.0067,51,-0.273,-0.273,-0.273,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-9c0136ec8f42,scripts/backtest/translated/c4_9c0136ec8f42_kucoffee_trend.py,True,-1.317,0.0,-0.4375,0.1198,51,-0.105,-0.105,-0.105,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-c30a620e114d,scripts/backtest/translated/c4_c30a620e114d_boll_break.py,True,-1.375,0.0,-0.4161,0.01,51,0.338,0.338,0.338,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-c21459b71a42,scripts/backtest/translated/c4_c21459b71a42_boll_np.py,True,-1.538,0.0,-0.4477,0.0133,51,0.336,0.336,0.336,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-e40a0a1bcda8,scripts/backtest/translated/c4_e40a0a1bcda8_ma5_ma10.py,True,-1.7,0.0,-0.4462,0.0857,51,-0.838,-0.838,-0.838,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
