entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-LIQ-030,换手率分位/活跃度,liquidity,f_liq030_tov_ratio5,1,kline,换手/5日均换手,20,,,,0,,,,,166.0,,,,181.0,,,,867.0
FCT-LIQ-031,立桩量,liquidity,f_liq031_pillar,1,kline,阳线实体%×5日量比,5,-0.03105,-0.2985,-9.874,1094,0.383,-0.02948,-0.2862,-3.458,166.0,-0.02471,-0.2173,-2.714,181.0,-0.03258,-0.3187,-8.969,867.0
FCT-LIQ-031,立桩量,liquidity,f_liq031_pillar,1,kline,阳线实体%×5日量比,10,-0.03135,-0.3121,-10.32,1093,0.387,-0.02423,-0.2362,-2.854,166.0,-0.04101,-0.3941,-4.923,181.0,-0.03076,-0.3098,-8.713,867.0
FCT-LIQ-031,立桩量,liquidity,f_liq031_pillar,1,kline,阳线实体%×5日量比,20,-0.02977,-0.3036,-10.036,1093,0.3678,-0.02372,-0.2303,-2.782,166.0,-0.03718,-0.3826,-4.778,181.0,-0.02942,-0.3023,-8.501,867.0
FCT-MOM-008,历史新高因子,momentum,f_mom008_new_high,1,kline,close/历史滚动最高（≥250日窗）,5,0.01577,0.1294,3.949,931,0.5542,0.04258,0.3855,4.206,166.0,-0.00675,-0.0513,-0.598,181.0,0.01558,0.1289,3.35,867.0
FCT-MOM-008,历史新高因子,momentum,f_mom008_new_high,1,kline,close/历史滚动最高（≥250日窗）,10,0.02266,0.1879,5.704,921,0.582,0.06882,0.7708,8.408,166.0,-0.01089,-0.0946,-1.104,181.0,0.02127,0.1714,4.423,867.0
FCT-MOM-008,历史新高因子,momentum,f_mom008_new_high,1,kline,close/历史滚动最高（≥250日窗）,20,0.03249,0.2563,7.669,895,0.5844,0.09127,1.0901,11.741,166.0,0.00459,0.0455,0.524,181.0,0.02768,0.2056,5.225,867.0
FCT-MOM-009,区间相对强弱RS,momentum,f_mom009_rs20,1,kline,个股20日动量-市场均值20日动量,5,-0.02817,-0.2172,-7.181,1093,0.4145,-0.02815,-0.2413,-2.916,166.0,-0.05432,-0.3805,-4.753,181.0,-0.02302,-0.1787,-5.025,867.0
FCT-MOM-009,区间相对强弱RS,momentum,f_mom009_rs20,1,kline,个股20日动量-市场均值20日动量,10,-0.03397,-0.271,-8.955,1092,0.4011,-0.02757,-0.2271,-2.744,166.0,-0.06701,-0.4895,-6.114,181.0,-0.02863,-0.2331,-6.551,867.0
FCT-MOM-009,区间相对强弱RS,momentum,f_mom009_rs20,1,kline,个股20日动量-市场均值20日动量,20,-0.04394,-0.3769,-12.456,1092,0.3553,-0.0223,-0.1879,-2.271,166.0,-0.08086,-0.7117,-8.889,181.0,-0.04064,-0.3525,-9.907,867.0
FCT-MOM-017,二进三断板,momentum,f_mom017_limit_streak,1,kline,"连板天数计数（pct≥9.8% 近似,登记局限）",5,-0.02367,-0.2981,-9.782,1077,0.3816,-0.01927,-0.2439,-2.936,166.0,-0.01851,-0.2274,-2.831,181.0,-0.02553,-0.3226,-8.992,867.0
FCT-MOM-017,二进三断板,momentum,f_mom017_limit_streak,1,kline,"连板天数计数（pct≥9.8% 近似,登记局限）",10,-0.03753,-0.489,-16.057,1078,0.3173,-0.03068,-0.3685,-4.437,166.0,-0.03882,-0.4654,-5.794,181.0,-0.03855,-0.5203,-14.513,867.0
FCT-MOM-017,二进三断板,momentum,f_mom017_limit_streak,1,kline,"连板天数计数（pct≥9.8% 近似,登记局限）",20,-0.0436,-0.6046,-19.852,1078,0.257,-0.04226,-0.5402,-6.505,166.0,-0.03787,-0.5392,-6.714,181.0,-0.04499,-0.6308,-17.595,867.0
FCT-QUAL-001,综合质量,quality,f_qual001_roe_w,1,fundamental,QUAL-001 部分代理=加权ROE（其余维度未并）,5,0.01337,0.1444,4.709,1063,0.5682,0.02377,0.2815,3.343,166.0,-0.00393,-0.0375,-0.469,181.0,0.01498,0.1645,4.552,867.0
FCT-QUAL-001,综合质量,quality,f_qual001_roe_w,1,fundamental,QUAL-001 部分代理=加权ROE（其余维度未并）,10,0.01622,0.1828,5.961,1063,0.5908,0.04424,0.5657,6.718,166.0,-0.01414,-0.1442,-1.801,181.0,0.01724,0.1988,5.503,867.0
FCT-QUAL-001,综合质量,quality,f_qual001_roe_w,1,fundamental,QUAL-001 部分代理=加权ROE（其余维度未并）,20,0.02056,0.2247,7.241,1038,0.5761,0.07218,0.7778,9.004,166.0,-0.01901,-0.2067,-2.556,181.0,0.01941,0.2236,6.129,867.0
