cell,engine_cell,n_events,n5,mean5,ex5,t5,med5,n10,mean10,ex10,t10,win10,med10,cons10,nyears10,yearly,n20,mean20,ex20,t20,volb_vol_low_n10,volb_vol_low_ex10,volb_vol_mid_n10,volb_vol_mid_ex10,volb_vol_high_n10,volb_vol_high_ex10,engine_n10,engine_ex10,engine_t10,engine_cons10,engine_prev20_ex,verdict
C_HAMMER/向上,CDLHAMMER|向上,139370,138792,0.0007596768128241649,-0.001026807862794663,-5.734869509555422,-0.0023696682464454666,138141,0.0018276059594157456,-0.0015729245208907228,-5.997734129870777,0.4831006001114803,-0.002042900919305368,0.3333333333333333,6,"{""2021"": [6088, 0.00782], ""2022"": [28478, 0.00113], ""2023"": [28716, -0.00052], ""2024"": [26561, -0.01002], ""2025"": [26432, 0.00212], ""2026"": [21866, 0.00061]}",137445,0.010435321691591696,0.0035392409753511253,9.443389484684424,33264,-0.0008145793350963497,42388,-0.002223299136031083,62489,-0.0015372134312947813,135020,-0.004680175971183,-17.227754969379284,0.8333333333333334,-0.0220871811220197,CANON-CONFIRM-DEAD(规范实现仍死)
C_HANGINGMAN/向下,CDLHANGINGMAN|向下,120529,120129,-0.0022132754109150696,-0.003999760086533898,-16.843860090440117,-0.005090909090909146,119690,0.0003250109149230569,-0.0030755195653834116,-9.537241059641474,0.46043111371041856,-0.005747126436781658,0.6666666666666666,6,"{""2021"": [5261, 0.00558], ""2022"": [22587, 0.00036], ""2023"": [24534, -0.00183], ""2024"": [22662, -0.00702], ""2025"": [27531, -0.00623], ""2026"": [17115, -0.00294]}",118397,-0.0003293009511961383,-0.0072253816674367095,-15.935006946089457,29392,-0.0029010928959300234,36958,-0.0034131088040532617,53340,-0.0029374077491639058,75442,0.0018316241106776,4.531598900854261,0.8333333333333334,0.0332589762250243,CANON-FLIP(实现问题坐实)
C_SHOOTINGSTAR/向下,CDLSHOOTINGSTAR|向下,175564,174944,0.0029807289960246033,0.0011942443204057754,5.83873043362707,-0.0033641724294271036,174419,0.004030293653416802,0.000629763173110334,2.1692862495358,0.4649149461927886,-0.005970149253731294,0.3333333333333333,6,"{""2021"": [8702, 0.00593], ""2022"": [30535, -0.00549], ""2023"": [33398, -0.00177], ""2024"": [37331, 0.00905], ""2025"": [41352, -0.0034], ""2026"": [23101, -0.00018]}",172201,0.004322746638649951,-0.0025733340775906197,-6.277356026377923,43678,5.781891817410083e-05,53991,0.00043402971570346335,76750,0.0010953793612383418,45785,0.0104497269749585,18.89258860469648,0.8333333333333334,0.0024913899540139,CANON-CONFIRM-DEAD(规范实现仍死)
C_MORNINGSTAR/向上,CDLMORNINGSTAR|向上,7892,7843,0.01218595255684561,0.010399467881226782,10.832409143909652,0.0050720768820073925,7824,0.012654055401526853,0.009253524921220384,7.1753443605476015,0.5272239263803681,0.005752722734835847,0.6666666666666666,6,"{""2021"": [285, 0.04203], ""2022"": [1698, 0.02579], ""2023"": [1361, -0.00099], ""2024"": [1659, 0.01522], ""2025"": [1790, 0.00064], ""2026"": [1031, -0.00878]}",7807,0.02521920150465666,0.018323120788416088,9.635558234058626,1940,0.011299013684425287,2440,0.005607254021208112,3444,0.010686135750078717,29046,0.0010041249521806,1.505665423720972,0.5,0.0090237243696255,CANON-SHARPEN(条件收紧后同向增强)
C_EVENINGSTAR/向下,CDLEVENINGSTAR|向下,8400,8391,0.0007145238250771443,-0.0010719608505416836,-1.238391079141069,-0.005555555555555536,8358,0.010401615019065398,0.007001084538758929,5.912032780431878,0.5381670256042115,0.006269558592416735,0.5,6,"{""2021"": [310, 0.01433], ""2022"": [1196, 0.00429], ""2023"": [1223, -0.00709], ""2024"": [3177, 0.02556], ""2025"": [1404, -0.00666], ""2026"": [1048, -0.01283]}",8296,0.02486702520243753,0.01797094448619696,9.721902503241711,2082,0.007010576238554023,2591,0.005275163301348142,3685,0.00821115075394701,20263,-0.0047774302056783,-6.341145600083197,0.6666666666666666,0.00984085522706,CANON-FLIP(实现问题坐实)
C_DARKCLOUD/向下,CDLDARKCLOUDCOVER|向下,17389,17350,-0.0013179716232872563,-0.003104456298906084,-4.830218551918217,-0.006608844903772337,17305,-0.0002820274883737111,-0.0036825579686801794,-4.087510513176241,0.4504478474429356,-0.00825242718446606,0.6666666666666666,6,"{""2021"": [979, 0.01087], ""2022"": [3156, -0.01141], ""2023"": [3306, -0.00639], ""2024"": [2991, 0.00037], ""2025"": [4241, -0.00606], ""2026"": [2632, -0.00034]}",17047,0.000688180113937033,-0.0062079006023035375,-5.005608576581565,4138,-0.005398494091583529,5516,-0.007430891703517968,7651,-5.3935386772764604e-05,17162,-0.0043670832579763,-4.903405154111552,0.8333333333333334,0.040354601443533,SAME-DIR-WEAK(同向但弱)
C_3BLACKCROWS/向下,CDL3BLACKCROWS|向下,0,0,,,,,0,,,,,,,0,{},0,,,,0,,0,,0,,1308,0.0177582636882713,4.8042295782192905,0.8333333333333334,-0.0815743916693841,LOW-POWER
C_HIKKAKE_CONF/向上,CDLHIKKAKE|向上,99665,99361,0.00236822111993112,0.000581736444312292,2.1722081900755033,-0.0039215686274508554,98978,0.0032102837440627675,-0.0001902467362437008,-0.5221452080526047,0.4696801309381883,-0.004978662873399764,0.6666666666666666,6,"{""2021"": [6527, -0.00517], ""2022"": [18052, -0.00377], ""2023"": [19749, -0.00296], ""2024"": [16035, 0.00216], ""2025"": [24422, -0.00087], ""2026"": [14193, 0.00482]}",97997,0.00416281263483997,-0.002733268081400601,-5.091187215851921,24665,-0.00019379346856566093,30777,8.335535051505992e-05,43536,-0.0003796549806824082,403982,-0.0033058701715025,-19.12572660721119,1.0,0.0017578223247414,CANON-CONFIRM-DEAD(规范实现仍死)
C_TOWERBOTTOM/向上,塔形底|向上,26037,25906,0.009124736818921654,0.007338252143302826,13.59875392890748,-0.002008842184216597,25866,0.011506961581576894,0.008106431101270425,11.977201785247246,0.506301708806928,0.0016249609206668847,0.8333333333333334,6,"{""2021"": [931, 0.01611], ""2022"": [3902, 0.00268], ""2023"": [8125, 0.00727], ""2024"": [4592, 0.03115], ""2025"": [4373, -0.00295], ""2026"": [3943, 0.00434]}",25804,0.026923376289293078,0.02002729557305251,18.737710707907553,6200,0.005584923022081358,8218,0.007358171592399727,11448,0.010007552543157328,287664,0.0360033121798947,167.69855850192516,1.0,-0.0043630981585961,SAME-DIR-WEAK(同向但弱)
C_TOWERTOP/向下,塔形顶|向下,16338,16140,0.00886969039396641,0.0070832057183475815,12.902145149721655,0.0034081229673222913,15961,0.00942998461985046,0.006029454139543991,7.371834517842251,0.5034145730217405,0.000950570342205248,0.8333333333333334,6,"{""2021"": [704, 0.02013], ""2022"": [3104, 0.01416], ""2023"": [3798, 0.00454], ""2024"": [3043, -0.00129], ""2025"": [2968, 0.00787], ""2026"": [2344, 0.00477]}",15868,0.007188889309930935,0.00029280859369036367,0.2615290487187159,3931,0.005477798762184615,5075,0.006877295514355716,6955,0.005723794836285164,355703,-0.0367476682493225,-225.79330442641347,1.0,0.0081196712288835,CANON-FLIP(实现问题坐实)
C_DOUBLEBOTTOM/向上,双底|向上,9013,8982,0.012962445620697316,0.011175960945078488,10.261782243811574,-0.0035017639461177863,8945,0.016100162058199426,0.012699631577892957,8.549835607281949,0.48820570150922304,-0.001481481481481417,0.6,5,"{""2022"": [1399, -0.00349], ""2023"": [2047, 0.00351], ""2024"": [2164, 0.05079], ""2025"": [1967, -0.0027], ""2026"": [1352, 0.00565]}",8870,0.02830017459335643,0.021404093877115858,10.356454200117495,2265,0.010533627296059113,2820,0.014435189232766443,3860,0.012706721235420233,570677,0.022317258155795,156.35337458495167,1.0,-0.0239034223631273,SAME-DIR-WEAK(同向但弱)
C_YANGDUOXIAN/向上,一阳穿多线|向上,42815,42575,0.002980312579962563,0.001193827904343735,2.816649503847461,-0.004491858506456947,42386,-0.0005620195453554018,-0.00396255002566187,-7.192138985461582,0.4534752040768178,-0.00829713648805902,1.0,6,"{""2021"": [4185, -0.01458], ""2022"": [7354, -0.00596], ""2023"": [9660, -0.00497], ""2024"": [6719, -0.00094], ""2025"": [9864, -0.00378], ""2026"": [4604, -0.00174]}",42009,0.00013672271604759354,-0.006759358000192978,-8.251169024695146,10669,-0.0041811397691205,13306,-0.003019631965485729,18411,-0.004514051114138562,83859,-0.0054365782119037,-13.922818119894693,1.0,0.0227449023384145,SAME-DIR-WEAK(同向但弱)
