因子ID,THS代码,因子名称,类别,频度,数据来源
FAC_0584,ths_extract_ic_reserve_net_amt_stock,Extract Ic Reserve Net Amt,资产负债表,年频,THS_BD
FAC_0585,ths_commi_on_insurance_policy_stock,Commi On Insurance Policy,其他,年频,THS_BD
FAC_0586,ths_rein_expenditure_stock,Rein Expenditure,其他,年频,THS_BD
FAC_0587,ths_operating_taxes_and_surcharge_stock,Operating Taxes And Surcharge,利润表,年频,THS_BD
FAC_0588,ths_sales_fee_stock,Sales Fee,其他,年频,THS_BD
FAC_0589,ths_manage_fee_stock,Manage Fee,其他,年频,THS_BD
FAC_0590,ths_rad_cost_sum_stock,Rad Cost Sum,利润表,年频,THS_BD
FAC_0591,ths_financing_expenses_stock,Financing Expenses,利润表,年频,THS_BD
FAC_0592,ths_finance_cost_interest_fee_stock,Finance Cost Interest Fee,利润表,年频,THS_BD
FAC_0593,ths_fc_interest_income_stock,Fc Interest Income,利润表,年频,THS_BD
FAC_0594,ths_asset_impairment_loss_stock,Asset Impairment Loss,资产负债表,年频,THS_BD
FAC_0595,ths_asset_impairment_loss_publish_stock,Asset Impairment Loss Publish,资产负债表,年频,THS_BD
FAC_0596,ths_credit_impairment_loss_stock,Credit Impairment Loss,其他,年频,THS_BD
FAC_0597,ths_credit_impairment_loss_publish_stock,Credit Impairment Loss Publish,其他,年频,THS_BD
FAC_0598,ths_operating_cost_diff_sri_stock,Operating Cost Diff Sri,利润表,年频,THS_BD
FAC_0599,ths_operating_cost_diff_tbi_stock,Operating Cost Diff Tbi,利润表,年频,THS_BD
FAC_0600,ths_fv_chg_income_stock,Fv Chg Income,利润表,年频,THS_BD
FAC_0601,ths_invest_income_stock,Invest Income,利润表,年频,THS_BD
FAC_0602,ths_ii_from_jc_etc_stock,Ii From Jc Etc,其他,年频,THS_BD
FAC_0603,ths_amortized_cost_fnncl_ass_cfrm_stock,Amortized Cost Fnncl Ass Cfrm,利润表,年频,THS_BD
FAC_0604,ths_net_open_hedge_income_stock,Net Open Hedge Income,利润表,年频,THS_BD
FAC_0605,ths_exchange_gain_stock,Exchange Gain,其他,年频,THS_BD
FAC_0606,ths_asset_disposal_gain_stock,Asset Disposal Gain,资产负债表,年频,THS_BD
FAC_0607,ths_other_income_stock,Other Income,利润表,年频,THS_BD
FAC_0608,ths_op_diff_sri_stock,Op Diff Sri,其他,年频,THS_BD
FAC_0609,ths_op_diff_tbi_stock,Op Diff Tbi,其他,年频,THS_BD
FAC_0610,ths_op_stock,Op,其他,年频,THS_BD
FAC_0611,ths_non_operating_income_stock,Non Operating Income,利润表,年频,THS_BD
FAC_0612,ths_noncurrent_asset_dispose_gain_stock,Noncurrent Asset Dispose Gain,资产负债表,年频,THS_BD
FAC_0613,ths_nonoperating_cost_stock,Nonoperating Cost,利润表,年频,THS_BD
FAC_0614,ths_noncurrent_asset_dispose_loss_stock,Noncurrent Asset Dispose Loss,资产负债表,年频,THS_BD
FAC_0615,ths_total_profit_diff_sri_stock,Total Profit Diff Sri,利润表,年频,THS_BD
FAC_0616,ths_total_profit_diff_tbi_stock,Total Profit Diff Tbi,利润表,年频,THS_BD
FAC_0617,ths_total_profit_stock,Total Profit,利润表,年频,THS_BD
FAC_0618,unconfirmed_invest_loss_is,Unconfirmed Invest Loss Is,其他,年频,THS_BD
FAC_0619,ths_income_tax_cost_stock,Income Tax Cost,利润表,年频,THS_BD
FAC_0620,ths_np_diff_sri_stock,Np Diff Sri,利润表,年频,THS_BD
FAC_0621,ths_np_diff_tbi_stock,Np Diff Tbi,利润表,年频,THS_BD
FAC_0622,ths_np_stock,Np,利润表,年频,THS_BD
FAC_0623,ths_continued_operating_np_stock,Continued Operating Np,利润表,年频,THS_BD
FAC_0624,ths_stop_operating_np_stock,Stop Operating Np,利润表,年频,THS_BD
FAC_0625,ths_np_atoopc_stock,Np Atoopc,利润表,年频,THS_BD
FAC_0626,ths_minority_gal_stock,Minority Gal,其他,年频,THS_BD
FAC_0627,ths_basic_eps_stock,Basic Eps,利润表,年频,THS_BD
FAC_0628,ths_dlt_earnings_per_share_stock,Dlt Earnings Per Share,利润表,年频,THS_BD
FAC_0629,ths_othrcompre_income_atoopc_stock,Othrcompre Income Atoopc,利润表,年频,THS_BD
FAC_0630,ths_cannt_reclass_to_gal_stock,Cannt Reclass To Gal,其他,年频,THS_BD
FAC_0631,ths_asset_change_due_to_remeasure_stock,Asset Change Due To Remeasure,资产负债表,年频,THS_BD
FAC_0632,ths_cannt_reclass_gal_equity_law_stock,Cannt Reclass Gal Equity Law,资产负债表,年频,THS_BD
FAC_0633,ths_other_not_reclass_to_gal_stock,Other Not Reclass To Gal,其他,年频,THS_BD
FAC_0634,ths_other_equity_invest_fvc_stock,Other Equity Invest Fvc,资产负债表,年频,THS_BD
FAC_0635,ths_corp_credit_risk_fvc_stock,Corp Credit Risk Fvc,其他,年频,THS_BD
FAC_0636,ths_reclass_to_gal_stock,Reclass To Gal,其他,年频,THS_BD
FAC_0637,ths_reclass_togal_in_equity_law_stock,Reclass Togal In Equity Law,资产负债表,年频,THS_BD
FAC_0638,ths_saleable_fv_chg_gal_stock,Saleable Fv Chg Gal,其他,年频,THS_BD
FAC_0639,ths_reclass_and_salable_gal_stock,Reclass And Salable Gal,其他,年频,THS_BD
FAC_0640,ths_cf_hedging_gal_valid_part_stock,Cf Hedging Gal Valid Part,现金流量表,年频,THS_BD
FAC_0641,ths_fc_convert_diff_stock,Fc Convert Diff,其他,年频,THS_BD
FAC_0642,ths_other_reclass_to_gal_stock,Other Reclass To Gal,其他,年频,THS_BD
FAC_0643,ths_other_debt_right_invest_fvc_stock,Other Debt Right Invest Fvc,其他,年频,THS_BD
FAC_0644,ths_fa_reclassi_amt_stock,Fa Reclassi Amt,其他,年频,THS_BD
FAC_0645,ths_other_debt_right_invest_ir_stock,Other Debt Right Invest Ir,其他,年频,THS_BD
FAC_0646,ths_othrcompre_income_atms_stock,Othrcompre Income Atms,利润表,年频,THS_BD
FAC_0647,ths_total_compre_income_stock,Total Compre Income,利润表,年频,THS_BD
FAC_0648,ths_total_compre_income_atsopc_stock,Total Compre Income Atsopc,利润表,年频,THS_BD
FAC_0649,ths_total_compre_income_atms_stock,Total Compre Income Atms,利润表,年频,THS_BD
FAC_0650,ths_effect_of_exchange_chg_on_cce_stock,Effect Of Exchange Chg On Cce,其他,年频,THS_BD
FAC_0651,ths_cce_net_add_amt_diff_sri_dm_stock,Cce Net Add Amt Diff Sri Dm,其他,年频,THS_BD
FAC_0652,ths_cce_net_add_amt_diff_tbi_dm_stock,Cce Net Add Amt Diff Tbi Dm,其他,年频,THS_BD
FAC_0653,ths_cash_received_of_sales_service_stock,Cash Received Of Sales Service,现金流量表,年频,THS_BD
FAC_0654,ths_deposit_and_interbank_net_add_stock,Deposit And Interbank Net Add,其他,年频,THS_BD
FAC_0655,ths_borrowing_net_add_central_bank_stock,Borrowing Net Add Central Bank,资产负债表,年频,THS_BD
FAC_0656,ths_lending_net_add_other_org_stock,Lending Net Add Other Org,其他,年频,THS_BD
FAC_0657,ths_cash_received_from_orig_ic_stock,Cash Received From Orig Ic,现金流量表,年频,THS_BD
FAC_0658,ths_net_cash_received_from_rein_stock,Net Cash Received From Rein,现金流量表,年频,THS_BD
FAC_0659,ths_naaassured_saving_and_invest_stock,Naaassured Saving And Invest,其他,年频,THS_BD
FAC_0660,ths_naa_of_disposal_fnncl_assets_stock,Naa Of Disposal Fnncl Assets,资产负债表,年频,THS_BD
FAC_0661,ths_cash_received_of_interest_etc_stock,Cash Received Of Interest Etc,现金流量表,年频,THS_BD
FAC_0662,ths_borrowing_net_increase_amt_stock,Borrowing Net Increase Amt,资产负债表,年频,THS_BD
FAC_0663,ths_net_add_in_repur_capital_stock,Net Add In Repur Capital,资产负债表,年频,THS_BD
FAC_0664,ths_refund_of_tax_and_levies_stock,Refund Of Tax And Levies,利润表,年频,THS_BD
FAC_0665,ths_cash_received_of_other_oa_stock,Cash Received Of Other Oa,现金流量表,年频,THS_BD
FAC_0666,ths_oa_cash_inflow_diff_sri_stock,Oa Cash Inflow Diff Sri,现金流量表,年频,THS_BD
FAC_0667,ths_oa_cash_inflow_diff_tbi_stock,Oa Cash Inflow Diff Tbi,现金流量表,年频,THS_BD
FAC_0668,ths_sub_total_of_ci_from_oa_stock,Sub Total Of Ci From Oa,其他,年频,THS_BD
FAC_0669,ths_goods_buy_and_service_cash_pay_stock,Goods Buy And Service Cash Pay,现金流量表,年频,THS_BD
FAC_0670,ths_loan_and_advancenet_add_stock,Loan And Advancenet Add,其他,年频,THS_BD
FAC_0671,ths_naa_of_cb_and_interbank_stock,Naa Of Cb And Interbank,其他,年频,THS_BD
FAC_0672,ths_cash_of_orig_ic_indemnity_stock,Cash Of Orig Ic Indemnity,现金流量表,年频,THS_BD
FAC_0673,ths_cash_paid_for_interests_etc_stock,Cash Paid For Interests Etc,现金流量表,年频,THS_BD
FAC_0674,ths_cash_paid_for_pd_stock,Cash Paid For Pd,现金流量表,年频,THS_BD
FAC_0675,ths_lending_funds_net_increase_stock,Lending Funds Net Increase,其他,年频,THS_BD
FAC_0676,ths_lend_to_other_finins_net_incre_stock,Lend To Other Finins Net Incre,其他,年频,THS_BD
FAC_0677,ths_cash_paid_to_staff_etc_stock,Cash Paid To Staff Etc,现金流量表,年频,THS_BD
FAC_0678,ths_payments_of_all_taxes_stock,Payments Of All Taxes,利润表,年频,THS_BD
FAC_0679,ths_other_cash_paid_related_to_oa_stock,Other Cash Paid Related To Oa,现金流量表,年频,THS_BD
FAC_0680,ths_oa_cash_outflow_diff_sri_stock,Oa Cash Outflow Diff Sri,现金流量表,年频,THS_BD
FAC_0681,ths_oa_cash_outflow_diff_tbi_stock,Oa Cash Outflow Diff Tbi,现金流量表,年频,THS_BD
FAC_0682,ths_sub_total_of_cos_from_oa_stock,Sub Total Of Cos From Oa,其他,年频,THS_BD
FAC_0683,ths_ncf_diff_of_oa_sri_stock,Ncf Diff Of Oa Sri,现金流量表,年频,THS_BD
FAC_0684,ths_ncf_diff_of_oa_tbi_stock,Ncf Diff Of Oa Tbi,现金流量表,年频,THS_BD
FAC_0685,ths_ncf_from_oa_stock,Ncf From Oa,现金流量表,年频,THS_BD
FAC_0686,ths_cash_received_of_dspsl_invest_stock,Cash Received Of Dspsl Invest,现金流量表,年频,THS_BD
FAC_0687,ths_invest_income_cash_received_stock,Invest Income Cash Received,利润表,年频,THS_BD
FAC_0688,ths_net_cash_of_disposal_assets_stock,Net Cash Of Disposal Assets,资产负债表,年频,THS_BD
FAC_0689,ths_net_cash_of_disposal_branch_stock,Net Cash Of Disposal Branch,现金流量表,年频,THS_BD
FAC_0690,ths_cash_received_of_other_fa_stock,Cash Received Of Other Fa,现金流量表,年频,THS_BD
FAC_0691,ths_ia_cash_inflow_diff_sri_stock,Ia Cash Inflow Diff Sri,现金流量表,年频,THS_BD
FAC_0692,ths_ia_cash_inflow_diff_tbi_stock,Ia Cash Inflow Diff Tbi,现金流量表,年频,THS_BD
FAC_0693,ths_sub_total_of_ci_from_ia_stock,Sub Total Of Ci From Ia,其他,年频,THS_BD
FAC_0694,ths_cash_paid_for_assets_stock,Cash Paid For Assets,资产负债表,年频,THS_BD
FAC_0695,ths_invest_paid_cash_stock,Invest Paid Cash,现金流量表,年频,THS_BD
FAC_0696,ths_net_add_in_pledge_loans_stock,Net Add In Pledge Loans,股份变动,年频,THS_BD
FAC_0697,ths_net_cash_amt_from_branch_stock,Net Cash Amt From Branch,现金流量表,年频,THS_BD
FAC_0698,ths_other_cash_paid_related_to_ia_stock,Other Cash Paid Related To Ia,现金流量表,年频,THS_BD
FAC_0699,ths_ia_cash_outflow_diff_sri_stock,Ia Cash Outflow Diff Sri,现金流量表,年频,THS_BD
FAC_0700,ths_ia_cash_outflow_diff_tbi_stock,Ia Cash Outflow Diff Tbi,现金流量表,年频,THS_BD
FAC_0701,ths_sub_total_of_cos_from_ia_stock,Sub Total Of Cos From Ia,其他,年频,THS_BD
FAC_0702,ths_ncf_diff_from_ia_sri_stock,Ncf Diff From Ia Sri,现金流量表,年频,THS_BD
FAC_0703,ths_ncf_diff_from_ia_tbi_stock,Ncf Diff From Ia Tbi,现金流量表,年频,THS_BD
FAC_0704,ths_ncf_from_ia_stock,Ncf From Ia,现金流量表,年频,THS_BD
FAC_0705,ths_cash_received_of_absorb_invest_stock,Cash Received Of Absorb Invest,现金流量表,年频,THS_BD
FAC_0706,ths_cr_from_minority_holders_stock,Cr From Minority Holders,股东权益,年频,THS_BD
FAC_0707,ths_cash_received_of_borrowing_stock,Cash Received Of Borrowing,资产负债表,年频,THS_BD
FAC_0708,ths_cash_received_from_bond_issue_stock,Cash Received From Bond Issue,现金流量表,年频,THS_BD
FAC_0709,ths_cash_received_of_othr_fa_stock,Cash Received Of Othr Fa,现金流量表,年频,THS_BD
FAC_0710,ths_fa_cash_in_flow_diff_sri_stock,Fa Cash In Flow Diff Sri,现金流量表,年频,THS_BD
FAC_0711,ths_fa_cash_in_flow_diff_tbi_stock,Fa Cash In Flow Diff Tbi,现金流量表,年频,THS_BD
FAC_0712,ths_sub_total_of_ci_from_fa_stock,Sub Total Of Ci From Fa,其他,年频,THS_BD
FAC_0713,ths_cash_pay_for_debt_stock,Cash Pay For Debt,现金流量表,年频,THS_BD
FAC_0714,ths_cash_paid_of_distribution_stock,Cash Paid Of Distribution,现金流量表,年频,THS_BD
FAC_0715,ths_dap_paid_to_minority_holder_stock,Dap Paid To Minority Holder,股东权益,年频,THS_BD
FAC_0716,ths_othrcash_paid_relating_to_fa_stock,Othrcash Paid Relating To Fa,现金流量表,年频,THS_BD
FAC_0717,ths_fa_cash_out_flow_diff_sri_stock,Fa Cash Out Flow Diff Sri,现金流量表,年频,THS_BD
FAC_0718,ths_fa_cash_out_flow_diff_tbi_stock,Fa Cash Out Flow Diff Tbi,现金流量表,年频,THS_BD
FAC_0719,ths_sub_total_of_cos_from_fa_stock,Sub Total Of Cos From Fa,其他,年频,THS_BD
FAC_0720,ths_ncf_diff_from_fa_sri_stock,Ncf Diff From Fa Sri,现金流量表,年频,THS_BD
FAC_0721,ths_ncf_diff_from_fa_tbi_stock,Ncf Diff From Fa Tbi,现金流量表,年频,THS_BD
FAC_0722,ths_ncf_from_fa_stock,Ncf From Fa,现金流量表,年频,THS_BD
FAC_0723,ths_net_increase_in_cce_stock,Net Increase In Cce,其他,年频,THS_BD
FAC_0724,ths_initial_cce_balance_stock,Initial Cce Balance,其他,年频,THS_BD
FAC_0725,ths_final_balance_of_cce_stock,Final Balance Of Cce,其他,年频,THS_BD
FAC_0726,ths_np_cfs_stock,Np Cfs,利润表,年频,THS_BD
FAC_0727,ths_asset_impairment_reserve_stock,Asset Impairment Reserve,资产负债表,年频,THS_BD
FAC_0728,ths_depreciation_etc_stock,Depreciation Etc,其他,年频,THS_BD
FAC_0729,ths_intangible_assets_amortized_stock,Intangible Assets Amortized,资产负债表,年频,THS_BD
FAC_0730,ths_depreciation_ire_stock,Depreciation Ire,其他,年频,THS_BD
FAC_0731,ths_rou_depreciation_stock,Rou Depreciation,其他,年频,THS_BD
FAC_0732,ths_lt_deferred_expenses_amrtzt_stock,Lt Deferred Expenses Amrtzt,利润表,年频,THS_BD
FAC_0733,ths_deferred_expense_reduce_stock,Deferred Expense Reduce,利润表,年频,THS_BD
FAC_0734,ths_increase_in_accrued_expenses_stock,Increase In Accrued Expenses,利润表,年频,THS_BD
FAC_0735,ths_loss_of_disposal_assets_stock,Loss Of Disposal Assets,资产负债表,年频,THS_BD
FAC_0736,ths_fixed_assets_scrap_loss_stock,Fixed Assets Scrap Loss,资产负债表,年频,THS_BD
FAC_0737,ths_loss_from_fv_chg_stock,Loss From Fv Chg,其他,年频,THS_BD
FAC_0738,ths_finance_cost_cfs_stock,Finance Cost Cfs,利润表,年频,THS_BD
FAC_0739,ths_invest_loss_stock,Invest Loss,其他,年频,THS_BD
FAC_0740,ths_dt_assets_decrease_stock,Dt Assets Decrease,资产负债表,年频,THS_BD
FAC_0741,ths_dt_liab_increase_stock,Dt Liab Increase,资产负债表,年频,THS_BD
FAC_0742,ths_inventory_decrease_stock,Inventory Decrease,其他,年频,THS_BD
FAC_0743,ths_operating_items_decrease_stock,Operating Items Decrease,其他,年频,THS_BD
FAC_0744,ths_increase_of_operating_item_stock,Increase Of Operating Item,其他,年频,THS_BD
FAC_0745,ths_si_other_stock,Si Other,其他,年频,THS_BD
FAC_0746,ths_ncf_diff_from_oa_im_sri_stock,Ncf Diff From Oa Im Sri,现金流量表,年频,THS_BD
FAC_0747,ths_ncf_diff_from_oa_im_tbi_stock,Ncf Diff From Oa Im Tbi,现金流量表,年频,THS_BD
FAC_0748,ths_ncf_from_oa_im_stock,Ncf From Oa Im,现金流量表,年频,THS_BD
FAC_0749,ths_debt_tranfer_to_capital_stock,Debt Tranfer To Capital,资产负债表,年频,THS_BD
FAC_0750,ths_cb_due_within1y_stock,Cb Due Within1Y,其他,年频,THS_BD
FAC_0751,ths_finance_lease_fixed_assets_stock,Finance Lease Fixed Assets,资产负债表,年频,THS_BD
FAC_0752,ths_ending_balance_of_cash_stock,Ending Balance Of Cash,现金流量表,年频,THS_BD
FAC_0753,ths_initial_balance_of_cash_stock,Initial Balance Of Cash,现金流量表,年频,THS_BD
FAC_0754,ths_si_final_balance_of_cce_stock,Si Final Balance Of Cce,其他,年频,THS_BD
FAC_0755,ths_initial_balance_of_cce_stock,Initial Balance Of Cce,其他,年频,THS_BD
FAC_0756,ths_cce_net_add_diff_im_sri_stock,Cce Net Add Diff Im Sri,其他,年频,THS_BD
FAC_0757,ths_cce_net_add_diff_im_tbi_stock,Cce Net Add Diff Im Tbi,其他,年频,THS_BD
FAC_0758,ths_net_increase_in_cce_im_stock,Net Increase In Cce Im,其他,年频,THS_BD
FAC_0759,ths_sq_operating_total_revenue_stock,Sq Operating Total Revenue,季频,季频,THS_BD
FAC_0760,ths_sq_revenue_stock,Sq Revenue,季频,季频,THS_BD
FAC_0761,ths_sq_interest_income_stock,Sq Interest Income,季频,季频,THS_BD
FAC_0762,ths_sq_earned_premium_stock,Sq Earned Premium,季频,季频,THS_BD
FAC_0763,ths_sq_fee_and_commi_income_stock,Sq Fee And Commi Income,季频,季频,THS_BD
FAC_0764,ths_sq_otr_diff_sri_stock,Sq Otr Diff Sri,季频,季频,THS_BD
FAC_0765,ths_sq_otr_diff_tbi_stock,Sq Otr Diff Tbi,季频,季频,THS_BD
FAC_0766,ths_sq_operating_total_cost_stock,Sq Operating Total Cost,季频,季频,THS_BD
FAC_0767,ths_sq_operating_total_cost_2_stock,Sq Operating Total Cost 2,季频,季频,THS_BD
FAC_0768,ths_sq_operating_cost_stock,Sq Operating Cost,季频,季频,THS_BD
FAC_0769,ths_sq_interest_payout_stock,Sq Interest Payout,季频,季频,THS_BD
FAC_0770,ths_sq_charge_and_commi_expenses_stock,Sq Charge And Commi Expenses,季频,季频,THS_BD
FAC_0771,ths_sq_refunded_premiums_stock,Sq Refunded Premiums,季频,季频,THS_BD
FAC_0772,ths_sq_initial_cce_balance_stock,Sq Initial Cce Balance,季频,季频,THS_BD
FAC_0773,ths_sq_extract_ic_reserve_net_amt_stock,Sq Extract Ic Reserve Net Amt,季频,季频,THS_BD
FAC_0774,ths_sq_commi_on_insurance_policy_stock,Sq Commi On Insurance Policy,季频,季频,THS_BD
FAC_0775,ths_sq_rein_expenditure_stock,Sq Rein Expenditure,季频,季频,THS_BD
FAC_0776,ths_sq_operate_tax_and_surcharge_stock,Sq Operate Tax And Surcharge,季频,季频,THS_BD
FAC_0777,ths_sq_sales_fee_stock,Sq Sales Fee,季频,季频,THS_BD
FAC_0778,ths_sq_manage_fee_stock,Sq Manage Fee,季频,季频,THS_BD
FAC_0779,ths_sq_rad_cost_sum_stock,Sq Rad Cost Sum,季频,季频,THS_BD
FAC_0780,ths_sq_finance_cost_stock,Sq Finance Cost,季频,季频,THS_BD
FAC_0781,ths_sq_interest_fee_stock,Sq Interest Fee,季频,季频,THS_BD
FAC_0782,ths_sq_fc_interest_income_stock,Sq Fc Interest Income,季频,季频,THS_BD
FAC_0783,ths_sq_asset_impairment_loss_stock,Sq Asset Impairment Loss,季频,季频,THS_BD
FAC_0784,ths_sq_asset_impairment_loss_publish_stock,Sq Asset Impairment Loss Publish,季频,季频,THS_BD
FAC_0785,ths_sq_credit_impairment_loss_stock,Sq Credit Impairment Loss,季频,季频,THS_BD
FAC_0786,ths_sq_credit_impairment_loss_publish_stock,Sq Credit Impairment Loss Publish,季频,季频,THS_BD
FAC_0787,ths_sq_otc_diff_sri_stock,Sq Otc Diff Sri,季频,季频,THS_BD
FAC_0788,ths_sq_otc_diff_tbi_stock,Sq Otc Diff Tbi,季频,季频,THS_BD
FAC_0789,ths_sq_fv_change_income_stock,Sq Fv Change Income,季频,季频,THS_BD
FAC_0790,ths_sq_invest_income_stock,Sq Invest Income,季频,季频,THS_BD
FAC_0791,ths_sq_ii_from_jc_etc_stock,Sq Ii From Jc Etc,季频,季频,THS_BD
FAC_0792,ths_sq_amort_cost_fnncl_ast_income_derec_stock,Sq Amort Cost Fnncl Ast Income Derec,季频,季频,THS_BD
FAC_0793,ths_sq_net_open_hedge_income_stock,Sq Net Open Hedge Income,季频,季频,THS_BD
FAC_0794,ths_sq_exchange_gain_stock,Sq Exchange Gain,季频,季频,THS_BD
FAC_0795,ths_sq_asset_disposal_income_stock,Sq Asset Disposal Income,季频,季频,THS_BD
FAC_0796,ths_sq_other_income_stock,Sq Other Income,季频,季频,THS_BD
FAC_0797,ths_sq_op_diff_sri_stock,Sq Op Diff Sri,季频,季频,THS_BD
FAC_0798,ths_sq_op_diff_tbi_stock,Sq Op Diff Tbi,季频,季频,THS_BD
FAC_0799,ths_sq_op_stock,Sq Op,季频,季频,THS_BD
FAC_0800,ths_sq_non_operating_income_stock,Sq Non Operating Income,季频,季频,THS_BD
FAC_0801,ths_sq_nca_dispose_gain_stock,Sq Nca Dispose Gain,季频,季频,THS_BD
FAC_0802,ths_sq_non_operating_cost_stock,Sq Non Operating Cost,季频,季频,THS_BD
FAC_0803,ths_sq_nca_dispose_loss_stock,Sq Nca Dispose Loss,季频,季频,THS_BD
FAC_0804,ths_sq_total_profit_diff_sri_stock,Sq Total Profit Diff Sri,季频,季频,THS_BD
FAC_0805,ths_sq_total_profit_diff_tbi_stock,Sq Total Profit Diff Tbi,季频,季频,THS_BD
FAC_0806,ths_sq_total_profit_stock,Sq Total Profit,季频,季频,THS_BD
FAC_0807,ths_sq_income_tax_cost_stock,Sq Income Tax Cost,季频,季频,THS_BD
FAC_0808,ths_sq_np_diff_sri_stock,Sq Np Diff Sri,季频,季频,THS_BD
FAC_0809,ths_sq_np_diff_tbi_stock,Sq Np Diff Tbi,季频,季频,THS_BD
FAC_0810,ths_sq_np_stock,Sq Np,季频,季频,THS_BD
FAC_0811,ths_sq_continued_operating_np_stock,Sq Continued Operating Np,季频,季频,THS_BD
FAC_0812,ths_sq_stop_operating_np_stock,Sq Stop Operating Np,季频,季频,THS_BD
FAC_0813,ths_sq_np_atoopc_stock,Sq Np Atoopc,季频,季频,THS_BD
FAC_0814,ths_sq_minority_gal_stock,Sq Minority Gal,季频,季频,THS_BD
FAC_0815,ths_sq_basic_eps_stock,Sq Basic Eps,季频,季频,THS_BD
FAC_0816,ths_sq_dltd_earnings_per_share_stock,Sq Dltd Earnings Per Share,季频,季频,THS_BD
FAC_0817,ths_sq_other_compre_income_stock,Sq Other Compre Income,季频,季频,THS_BD
FAC_0818,ths_sq_other_compre_income_atoopc_stock,Sq Other Compre Income Atoopc,季频,季频,THS_BD
FAC_0819,ths_sq_cannt_reclass_to_gal_stock,Sq Cannt Reclass To Gal,季频,季频,THS_BD
FAC_0820,ths_sq_asset_chg_due_to_remeasure_stock,Sq Asset Chg Due To Remeasure,季频,季频,THS_BD
FAC_0821,ths_sq_cannt_reclass_gal_stock,Sq Cannt Reclass Gal,季频,季频,THS_BD
FAC_0822,ths_sq_other_not_reclass_to_gal_stock,Sq Other Not Reclass To Gal,季频,季频,THS_BD
FAC_0823,ths_sq_other_equity_invest_fvc_stock,Sq Other Equity Invest Fvc,季频,季频,THS_BD
FAC_0824,ths_sq_corp_credit_risk_fvc_stock,Sq Corp Credit Risk Fvc,季频,季频,THS_BD
FAC_0825,ths_sq_reclass_togal_stock,Sq Reclass Togal,季频,季频,THS_BD
FAC_0826,ths_sq_reclass_togal_in_equity_law_stock,Sq Reclass Togal In Equity Law,季频,季频,THS_BD
FAC_0827,ths_sq_salable_fv_change_gal_stock,Sq Salable Fv Change Gal,季频,季频,THS_BD
FAC_0828,ths_sq_reclass_and_salable_gal_stock,Sq Reclass And Salable Gal,季频,季频,THS_BD
FAC_0829,ths_sq_cf_hedging_gal_valid_part_stock,Sq Cf Hedging Gal Valid Part,季频,季频,THS_BD
FAC_0830,ths_sq_fc_convert_diff_stock,Sq Fc Convert Diff,季频,季频,THS_BD
FAC_0831,ths_sq_others_reclass_to_gal_stock,Sq Others Reclass To Gal,季频,季频,THS_BD
FAC_0832,ths_sq_other_debt_right_invest_fvc_stock,Sq Other Debt Right Invest Fvc,季频,季频,THS_BD
FAC_0833,ths_sq_fa_reclassi_amt_stock,Sq Fa Reclassi Amt,季频,季频,THS_BD
FAC_0834,ths_sq_other_debt_right_invest_ir_stock,Sq Other Debt Right Invest Ir,季频,季频,THS_BD
FAC_0835,ths_sq_other_compre_income_atms_stock,Sq Other Compre Income Atms,季频,季频,THS_BD
FAC_0836,ths_sq_total_compre_income_stock,Sq Total Compre Income,季频,季频,THS_BD
FAC_0837,ths_sq_total_compre_income_atsopc_stock,Sq Total Compre Income Atsopc,季频,季频,THS_BD
FAC_0838,ths_sq_total_compre_income_atms_stock,Sq Total Compre Income Atms,季频,季频,THS_BD
FAC_0839,ths_sq_effect_of_erc_on_cce_stock,Sq Effect Of Erc On Cce,季频,季频,THS_BD
FAC_0840,ths_sq_cce_net_add_amt_diff_sri_dm_stock,Sq Cce Net Add Amt Diff Sri Dm,季频,季频,THS_BD
FAC_0841,ths_sq_cce_net_add_amt_diff_tbi_dm_stock,Sq Cce Net Add Amt Diff Tbi Dm,季频,季频,THS_BD
FAC_0842,ths_sq_cr_from_sale_of_goods_etc_stock,Sq Cr From Sale Of Goods Etc,季频,季频,THS_BD
FAC_0843,ths_sq_deposits_etc_net_add_amt_stock,Sq Deposits Etc Net Add Amt,季频,季频,THS_BD
FAC_0844,ths_sq_net_add_central_bank_stock,Sq Net Add Central Bank,季频,季频,THS_BD
FAC_0845,ths_sq_net_add_finan_org_stock,Sq Net Add Finan Org,季频,季频,THS_BD
FAC_0846,ths_sq_pr_of_orig_ic_old_stock,Sq Pr Of Orig Ic Old,季频,季频,THS_BD
FAC_0847,ths_sq_net_cash_received_from_rein_stock,Sq Net Cash Received From Rein,季频,季频,THS_BD
FAC_0848,ths_sq_net_add_in_deposits_etc_stock,Sq Net Add In Deposits Etc,季频,季频,THS_BD
FAC_0849,ths_sq_disposal_net_add_etc_stock,Sq Disposal Net Add Etc,季频,季频,THS_BD
FAC_0850,ths_sq_interest_and_commi_cr_stock,Sq Interest And Commi Cr,季频,季频,THS_BD
FAC_0851,ths_sq_borrowing_net_increase_amt_stock,Sq Borrowing Net Increase Amt,季频,季频,THS_BD
FAC_0852,ths_lending_funds_net_increase_sq_stock,Lending Funds Net Increase Sq,其他,年频,THS_BD
FAC_0853,ths_lend_to_other_finins_net_incre_sq_stock,Lend To Other Finins Net Incre Sq,其他,年频,THS_BD
FAC_0854,ths_sq_net_add_in_repur_stock,Sq Net Add In Repur,季频,季频,THS_BD
