factor,h,window,grp,n_days,ic_mean,ic_std,ic_ir,t_stat,avg_n,pos_share,avg_base_width,prior_coverage
ac,20,IS,MID,253,-0.018254118951799653,0.10823346213569662,-0.1686550406094719,-2.6826226437787706,4298.517786561265,0.4743083003952569,4656.881422924901,none
ac,20,IS,HIGH,157,-0.005817694105768944,0.12054879103941187,-0.04826007839321196,-0.6046970490613274,4317.15923566879,0.4585987261146497,4585.101910828025,none
ac,20,OOS,total,639,-0.034239520232922746,0.1345298577576167,-0.25451242425761206,-6.4336794177865295,4924.953051643192,0.41001564945226915,5346.245696400626,none
ac,20,OOS,LOW,167,-0.03280035856428366,0.08951476569536987,-0.3664240006604883,-4.735241657975469,4601.652694610779,0.38323353293413176,5329.209580838324,none
ac,20,OOS,MID,236,-0.02334788249817974,0.1332663148006433,-0.17519717967069529,-2.6914301433322674,5067.902542372882,0.4449152542372881,5353.771186440678,none
ac,20,OOS,HIGH,236,-0.04614954779250782,0.15953611848228003,-0.2892733522135537,-4.443901558653672,5010.779661016949,0.3940677966101695,5350.775423728814,none
ad,5,IS,total,727,-0.007910216767346162,0.07556576928005497,-0.10467989464952096,-2.8224774596031597,4565.486932599725,0.4718019257221458,4636.7716643741405,l1_pending
ad,5,IS,LOW,282,-0.005798260696420641,0.06868758259904259,-0.08441497687096446,-1.41756851907602,4670.41134751773,0.4432624113475177,4732.301418439716,l1_pending
ad,5,IS,MID,282,-0.01530111329188754,0.08610510978294099,-0.17770273251447585,-2.984136331060865,4491.464539007092,0.46099290780141844,4583.531914893617,l1_pending
ad,5,IS,HIGH,163,0.0012226740787868004,0.06602580572527886,0.018518124320574304,0.23642358452873524,4512.0245398773,0.5398773006134969,4563.60736196319,l1_pending
ad,5,OOS,total,654,0.0013306842449219867,0.0760151052033916,0.017505523952923704,0.4476761812276996,5244.957186544342,0.5382262996941896,5348.909785932722,l1_pending
ad,5,OOS,LOW,167,-0.011979675625748896,0.08235600819096281,-0.14546207239635814,-1.879784248916837,5123.976047904192,0.4550898203592814,5329.209580838324,l1_pending
ad,5,OOS,MID,249,0.012182649915383885,0.07301392006001298,0.1668537986368968,2.6329085323594064,5297.008032128514,0.6144578313253012,5359.44578313253,l1_pending
ad,5,OOS,HIGH,238,-0.0006832206018972382,0.07306891963089054,-0.009350358611411582,-0.14425030698946778,5275.390756302521,0.5168067226890757,5351.710084033613,l1_pending
ad,10,IS,total,727,-0.010964682425282243,0.0741331572517834,-0.14790524013488537,-3.9879597494399746,4496.235213204952,0.45392022008253097,4636.7716643741405,l1_pending
ad,10,IS,LOW,282,-0.006801712708894037,0.07098393438872089,-0.09582045243711944,-1.6090990235786309,4609.641843971631,0.46808510638297873,4732.301418439716,l1_pending
ad,10,IS,MID,282,-0.025082572960890497,0.08076258146963193,-0.31057170913143683,-5.215385872264462,4407.436170212766,0.39361702127659576,4583.531914893617,l1_pending
ad,10,IS,HIGH,163,0.006257941323307037,0.062446246806583075,0.10021324968800728,1.279437123239761,4453.662576687117,0.5337423312883436,4563.60736196319,l1_pending
