node_id,node_type,path,granularity,domain_id,subdomain_id,blueprint_id,belongs_to,owner,change_policy,impact_level,modification_permission,file_header_score,tags,architecture_layer,design_maturity,deployment_lifecycle,trust_zone,license,drive_direction,type_specific_data,last_verified,node_name,file_path,build_status,can_build,gate_reason,hard_boundary_ref,consumed_interfaces,blueprint_id_invalid,blueprint_path,content_hash
470159,module,src/zephyr/alt_data/api/__init__.py,file,D_ALT_DATA,D_ALT_DATA,"","","",evolving,M,ai_modifiable,0,[],L1_foundation,prototype,stable,untrusted_input,Internal,bottom_up,"{""imports"": [], ""build_status"": ""generated""}",2026-07-04T19:01:23.955062,"",src/zephyr/alt_data/api/__init__.py,generated,0,"","","",0,,9c7255ca569098b4c1d83e43219f1c2b3f6d35d7138fdb2c2649c661155af614
475128,blueprint,src/zephyr/frontend/dashboard/components/chart_factory.py/,directory,D_FRONTEND,,MOD-L08-001,,,,,,0,,,design,stable,trusted_core,Internal,bottom_up,,,"","",planned,1,"",,,0,docs/03_modules/MOD-L08-001/,
18,module,src/zephyr/cross_asset/,module,D_CROSS_ASSET,D_CROSS_ASSET,MOD-CROSS_ASSET,D-CROSS_ASSET,D-CROSS_ASSET,evolving,M,ai_modifiable,0,"['module', 'D-CROSS_ASSET', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,跨资产域,"",planned,1,"",,,0,,
15,module,src/zephyr/digital_twin/,module,D_DIGITAL_TWIN,D_DIGITAL_TWIN,MOD-DIGITAL_TWIN,D-DIGITAL_TWIN,D-DIGITAL_TWIN,evolving,M,ai_modifiable,0,"['module', 'D-DIGITAL_TWIN', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,数字孪生域,"",planned,1,"",,,0,,
17,module,src/zephyr/pf_alloc/,module,D_PF_ALLOC,D_PF_ALLOC,MOD-PF_ALLOC,D-PF_ALLOC,D-PF_ALLOC,evolving,M,ai_modifiable,0,"['module', 'D-PF_ALLOC', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,组合分配域,"",planned,1,"",,,0,,
10,module,src/zephyr/simulation/,file,D_SIMULATION,D_SIMULATION,MOD-SIMULATION,D-SIMULATION,D-SIMULATION,evolving,M,ai_modifiable,0,"['module', 'D-SIMULATION', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,仿真核心域,"",planned,1,"",,,0,,
470160,module,src/zephyr/alt_data/models/__init__.py,file,D_ALT_DATA,D_ALT_DATA,"","","",evolving,M,ai_modifiable,0,[],L1_foundation,prototype,stable,untrusted_input,Internal,bottom_up,"{""imports"": [], ""build_status"": ""generated""}",2026-07-04T19:01:23.957591,"",src/zephyr/alt_data/models/__init__.py,generated,0,"","","",0,,89c219da4f45350bc6128a180525ccc544aeae3606dd3c35f0823adf09045143
470161,module,src/zephyr/alt_data/infrastructure/__init__.py,file,D_ALT_DATA,D_ALT_DATA,"","","",evolving,M,ai_modifiable,0,[],L1_foundation,prototype,stable,untrusted_input,Internal,bottom_up,"{""imports"": [], ""build_status"": ""generated""}",2026-07-04T19:01:23.957591,"",src/zephyr/alt_data/infrastructure/__init__.py,generated,0,"","","",0,,9df7a55b9696aa4cb51bdea65cbe172df607b95371cf5aecc64511b32afc58db
470162,module,src/zephyr/alt_data/_extensions/__init__.py,file,D_ALT_DATA,D_ALT_DATA,"","","",evolving,M,ai_modifiable,0,[],L1_foundation,prototype,stable,untrusted_input,Internal,bottom_up,"{""imports"": [], ""build_status"": ""generated""}",2026-07-04T19:01:23.957591,"",src/zephyr/alt_data/_extensions/__init__.py,generated,0,"","","",0,,20e1f65a6f135f8a277a94398254694972ed2dac9dc618297cbf551a0db8fca1
470163,module,src/zephyr/alt_data/core/__init__.py,file,D_ALT_DATA,D_ALT_DATA,"","","",evolving,M,ai_modifiable,0,[],L1_foundation,prototype,stable,untrusted_input,Internal,bottom_up,"{""imports"": [], ""build_status"": ""generated""}",2026-07-04T19:01:23.957591,"",src/zephyr/alt_data/core/__init__.py,generated,0,"","","",0,,0f730be148ac78a3809cf687b149065a52061843026767975c8b10e9d8aa8741
470165,module,src/zephyr/alt_data/__init__.py,file,D_ALT_DATA,D_ALT_DATA,"","","",evolving,M,ai_modifiable,0,[],L1_foundation,prototype,stable,untrusted_input,Internal,bottom_up,"{""imports"": [], ""build_status"": ""generated""}",2026-07-04T19:01:23.960109,"",src/zephyr/alt_data/__init__.py,generated,0,"","","",0,,89002ef0b902d7091b55d91793c5d7b6e15fa22503b09c26702ac520a51594f3
470167,module,src/zephyr/alt_data/services/__init__.py,file,D_ALT_DATA,D_ALT_DATA,"","","",evolving,M,ai_modifiable,0,[],L1_foundation,prototype,stable,untrusted_input,Internal,bottom_up,"{""imports"": [], ""build_status"": ""generated""}",2026-07-04T19:01:23.960615,"",src/zephyr/alt_data/services/__init__.py,generated,0,"","","",0,,ad19637ee18fab4a7afcfc5073a82aad7bdd95a01261602db81399429e4a84fb
475127,blueprint,src/zephyr/backtest/io/result_repository.py/,directory,D_BACKTEST,,MOD-BT-001,,,,,,0,,,design,stable,trusted_core,Internal,bottom_up,,,"","",generated,1,"",,,0,docs/03_modules/MOD-BT-001/,
