family,level,exec_model,symbol,status,n_days,n_trades,net_p25_bp,net_p50_bp,net_p75_bp,net_mean_bp,days_ratio_ge12bp,h1_mean_bp,h2_mean_bp,split_same_sign,field_signed_day_share,median_spread_bp,fill_rate_entry,fill_rate_exit,as_stat_bp,p_sign,q_bh,highlight
S2,10s,M2,512010,ok,21,163,-19.2215,-1.7769,8.6590,-2.7213,0.1905,,-2.6026,nan,0.0000,26.4201,0.8128,0.5215,-1.1573,0.8083,1.0000,
S2,60s,M1,510300,ok,189,342,-25.4664,-1.5657,21.3513,-4.4383,0.3651,-9.4045,-1.4121,True,0.9101,2.1559,,,,0.8457,1.0000,
S2,60s,M1,512170,ok,170,327,-38.8201,-6.3880,22.1427,-12.8584,0.2706,-13.0449,-9.6653,True,0.9118,29.6296,,,,1.0000,1.0000,
S2,60s,M1,512010,ok,177,350,-35.3985,-6.3880,19.3852,-7.1723,0.3333,-8.3505,-6.6281,True,0.9096,26.4901,,,,0.9748,1.0000,
S2,60s,M2,510300,ok,17,34,-10.4704,2.9277,37.5378,11.8393,0.4706,,5.9397,nan,0.0000,2.1559,0.5882,0.4118,-2.0690,0.1662,1.0000,
S2,60s,M2,512170,ok,15,28,-20.5119,-1.6271,10.8830,7.1484,0.2667,,16.9120,nan,0.0000,29.6296,0.7419,0.3571,1.2806,0.6964,1.0000,
S2,60s,M2,512010,ok,16,27,-34.9305,-1.5775,33.9142,-0.5771,0.4375,,-5.3522,nan,0.0000,26.4901,0.8889,0.4074,1.5863,0.4018,1.0000,
S3,1s,M1,510300,ok,172,172,-10.6347,-6.3880,-1.8553,-5.7219,0.0291,-6.9428,-3.9853,True,0.9128,2.1582,,,,1.0000,1.0000,
S3,1s,M1,512170,ok,184,184,-33.8420,-6.3880,-6.3880,-8.7491,0.2446,-8.0759,-9.6641,True,0.9185,29.6296,,,,1.0000,1.0000,
S3,1s,M1,512010,ok,198,198,-30.1414,-6.3880,-6.3880,-9.8419,0.1869,-8.6815,-11.7045,True,0.9242,26.4901,,,,1.0000,1.0000,
S3,1s,M2,510300,ok,15,15,-16.3909,-10.6497,-5.5711,-10.5185,0.0000,,-10.5185,nan,0.0000,2.1582,0.5333,0.4667,-2.1694,0.9963,1.0000,
S3,1s,M2,512170,ok,15,15,-20.6318,-2.9452,8.9875,-3.1389,0.1333,,-3.1389,nan,0.0000,29.6296,0.5333,0.8667,4.0951,0.9408,1.0000,
S3,1s,M2,512010,ok,15,15,-30.1803,-2.2820,16.4117,-7.4285,0.2667,,-7.4285,nan,0.0000,26.4901,0.7333,0.5333,-8.1724,0.8491,1.0000,
S3,10s,M1,510300,ok,172,172,-19.5178,-6.3880,8.4146,-6.6583,0.2093,-8.5617,-3.9506,True,0.9128,2.1582,,,,0.9992,1.0000,
S3,10s,M1,512170,ok,184,184,-35.3946,-6.3880,23.1978,-4.1458,0.3478,-6.4639,-0.9957,True,0.9185,29.6296,,,,1.0000,1.0000,
S3,10s,M1,512010,ok,198,198,-33.0369,-6.3880,18.6597,-3.8899,0.4293,-4.2278,-3.3476,True,0.9242,26.4901,,,,0.9805,1.0000,
S3,10s,M2,510300,ok,15,15,-21.0130,-12.8773,4.0541,-9.0753,0.1333,,-9.0753,nan,0.0000,2.1582,0.5333,0.7333,-1.7066,0.9408,1.0000,
S3,10s,M2,512170,ok,15,15,-50.6653,-20.7908,-1.5812,-27.5032,0.2000,,-27.5032,nan,0.0000,29.6296,0.5333,0.7333,0.4024,0.9963,1.0000,
S3,10s,M2,512010,ok,15,15,-49.3846,-36.2332,16.4280,-15.1922,0.2667,,-15.1922,nan,0.0000,26.4901,0.7333,0.6667,-2.0721,0.9408,1.0000,
