,FACT-4db4c41e,FACT-4f749668,FACT-4228020a,FACT-e293e217,FACT-4b200528,FACT-e831084c,CAND-8d000bf3ccc3,CAND-c4ec6332c07f,CAND-e3da6fa71af1,CAND-4440d07f973f,CAND-a4543012b464,CAND-eaddc3f9db4e,CAND-29eb91dbaf60,CAND-d06cab686cef,CAND-9c0424f53fe4,CAND-14d3e787ea4b,CAND-1970782c2adb,CAND-fdbc279fba99,CAND-e2e7f033d97c,CAND-6a6ec8869ddb,CAND-751983843b3f,CAND-bd42540f86e4,VAL-DIV-STEADY-005,CAND-2e4d39a3f50b,CAND-4879b2c6f2bb,CAND-4da841c734ae,CAND-a5ac9cc45ab3,VAL-PE-LOW-020,VAL-WIZ-VALUE1-020,CAND-ab4dc295d8eb,CAND-347a7638d04b,CAND-25028ae0c266,CAND-a016c519e8bd,CAND-6ba459329476,CAND-b1ab2a40225a,VAL-DIV-NOPEG-020,VAL-DIV-HIGH-020,CAND-68cc0a6b40ba,VAL-PB-LOW-020,CAND-3238a5ce80c8,VAL-PEPB-DOUBLE-020,VAL-WIZ-CITICS-020,CAND-091fee38cd01,CAND-65ae80c577c9,CAND-5e3284032a17,VAL-PB-LOWTURN-035,CAND-99873fd0bc17,CAND-bb0b9f37ce93,CAND-9519cb55d6b7,VAL-PE-ZZ500-020,CAND-38cceabf3946,CAND-b1fb7e2246dd,CAND-e8017cc1adc5,CAND-79ae77fb3af7,VAL-DIV-PRETTY50-010,CAND-0319395c57a7,CAND-2b351fd05d5f,CAND-6cb29d4d9ba8,CAND-9c0136ec8f42,CAND-c30a620e114d,CAND-c21459b71a42,CAND-e40a0a1bcda8
FACT-4db4c41e,1.0,0.9559293517623737,0.9602762323014576,0.9393581610610675,0.9531873047859517,0.9250795474968401,0.6202298763042747,0.46821495814251657,0.2941978554929038,0.14623454940864267,0.4269508485234132,0.6582134276102737,0.5859578474747533,0.6563192537313819,0.1784820519958512,,,,0.2935196295985518,0.6599017961870824,0.18306882752325437,0.6347481879927878,0.1385970351489243,0.34567186504817166,0.2008152958599935,0.486140248611936,0.4746858268330671,-0.032900099136256744,0.203860449439393,0.1217199577252834,0.1718893938570091,0.38782237440979983,,,0.18385861385365113,0.20392132850826591,0.10904393316740647,0.04677921909312369,-0.01394067423620234,0.3790228395848717,0.16241500245373194,0.0020278450295092114,0.046825060874819725,0.20662515180224755,0.3963207505441374,0.044019496552061214,0.7116143461411825,0.21266662505180556,0.1950773352321267,0.16910314121398096,0.2030620013061722,0.1949299469403594,-0.044931849352260224,0.2085299016776479,0.3666400276891913,0.18276124918478032,0.22464069994878444,0.07463353144586386,0.15430861508774724,0.38629155768938545,0.3848323071284966,0.22825704036184344
FACT-4f749668,0.9559293517623737,1.0,0.9808141205348009,0.9473665806344611,0.9497758653714091,0.9193484017831901,0.5975205128585777,0.47690988673005186,0.296057239022455,0.14902101536912582,0.4275584319330793,0.6413272523167829,0.5817342732504446,0.6351081756275998,0.16077421204294884,,,,0.26803753221487947,0.6791561918531583,0.14690803244034067,0.6356378606138366,0.09099636655554787,0.33360853181468375,0.1584653976341033,0.4331907691055666,0.4149928316821766,-0.04502908508668539,0.15276315936302232,0.06396656128792431,0.10515453451813861,0.3475741146121614,,,0.12318126383012729,0.1480050185414552,0.07562889571498937,0.06166668271581439,-0.024802547512674196,0.32807722905871634,0.10149764551173811,-0.010611558261324318,0.08788479534819894,0.16379367956289534,0.33568762459988283,0.030376657485253606,0.6964349902816787,0.16396976076393646,0.16039793848473133,0.11502814793595158,0.14020202141297583,0.1502650133998383,-0.03815210582337747,0.15508575013761317,0.33832311103413254,0.15497024485260216,0.2417686556045802,0.08228406401617631,0.15759261424154317,0.3961294866334712,0.40030975437692534,0.23079702000335287
FACT-4228020a,0.9602762323014576,0.9808141205348009,1.0,0.9446419254654254,0.9503612076861842,0.9266052805787443,0.5915955443783815,0.4893184119144697,0.3009728769786492,0.16937621530047334,0.41165557382119533,0.6399352967531123,0.5949271185001191,0.6365432257732689,0.15675276891860598,,,,0.26842952490607014,0.6748238817950162,0.14054710175831842,0.6482110203816829,0.09945424038282893,0.33392884282975355,0.15558720552661812,0.43226738744085585,0.41998935929764114,-0.04432095461616594,0.15539847726344586,0.07504776284962485,0.11324852772374984,0.3546306352946739,,,0.12978678753102227,0.15531651020170303,0.08188650335451336,0.06468574293595293,-0.023901902535270258,0.3378234798140294,0.10808517927830674,-0.02028167176446548,0.07882248639689078,0.16357475468177965,0.3405875646427717,0.027307753330561742,0.7064437188680682,0.16962581352223696,0.15672620019724492,0.11375781223972058,0.147794809380905,0.15024119948152695,-0.0442457843608122,0.15943374107213862,0.3420530760411097,0.15438145368252215,0.25354552388979334,0.07939157144773017,0.17193622046829216,0.40118983789347495,0.40517753458988354,0.22913066834335577
FACT-e293e217,0.9393581610610675,0.9473665806344611,0.9446419254654254,1.0,0.929428832699996,0.9266024723661008,0.5309263606536198,0.47143879451801607,0.3266125459330155,0.14981638445701614,0.35814447766806035,0.6378618131789723,0.5934271627213675,0.634022570739888,0.1691073141939745,,,,0.293637445984139,0.7038485216993645,0.1374429689489629,0.6452784164789905,0.09581178080713164,0.32759322002975866,0.15314801691225,0.43291119776562215,0.4218061336198734,-0.03457538252011582,0.14420315685580767,0.06090891142515346,0.1036431089350255,0.35591734426435856,,,0.11872039309301477,0.14054438824961357,0.07313506137584341,0.06841542187626443,0.0034496879125721883,0.3399798819507043,0.10034483438282445,0.0069486445158148235,0.07509738486716412,0.1559738505446679,0.3371061851266604,0.04166518995891288,0.7096788775480056,0.16046478933016858,0.15505936061871686,0.10872981512481146,0.1361351217952418,0.14576162980184104,-0.024244157246520244,0.15127021105745564,0.3469209028267807,0.14591397865281105,0.249410635271041,0.08347957449561959,0.12191041367751065,0.3931907452073051,0.39478731688943275,0.22758046613786442
FACT-4b200528,0.9531873047859517,0.9497758653714091,0.9503612076861842,0.929428832699996,1.0,0.9413663728267566,0.5576615385176581,0.442727313908123,0.30200563425532523,0.1534458458605591,0.4229164548699379,0.59939523141197,0.5605950157318564,0.5930376524580452,0.19480143002742503,,,,0.26790909998966883,0.6654708343475444,0.10564295543309443,0.5566326469225221,0.0650308599099785,0.3041855241932691,0.1096074140557052,0.4293595105696314,0.4153259954834082,-0.025517645672977363,0.10258473610522308,0.029420853639857976,0.055656342574791115,0.32293780651605114,,,0.0743590375635326,0.10310805286034698,0.04801810244366982,0.05008952787882283,-0.0046196953509651285,0.3137643869114158,0.054207809395639295,-0.015318723946490202,0.09614123512718685,0.12074203678276306,0.31633913431139754,0.019604597641688096,0.6630071193924892,0.12164178197209549,0.1266665068545345,0.07290613585928521,0.0907889642625793,0.11460184690569399,-0.05487329446534288,0.11688125643480428,0.33181372567401735,0.1179356976545966,0.2381154989635134,0.08342027100916133,0.17390168443463352,0.29310434419543824,0.2931786737425241,0.1799598825434774
FACT-e831084c,0.9250795474968401,0.9193484017831901,0.9266052805787443,0.9266024723661008,0.9413663728267566,1.0,0.5291391898140335,0.42902893788586327,0.256738960427246,0.13252303844213736,0.403465168783368,0.644813610471354,0.5232837109811795,0.6411738354890893,0.11515147259862724,,,,0.2680308095883728,0.62182045610344,0.1266671552467744,0.5794325051281762,0.05965031994941698,0.3228975739837435,0.12625873573484964,0.43349493643170905,0.4140740150971969,-0.0059698244232472,0.12244685557768724,0.05737623705195867,0.0888835314676718,0.33480934858196554,,,0.10048841719303085,0.11885589144366135,0.05692630489836453,0.07084724360435452,0.008652924751170946,0.32909865699963337,0.08420136085090836,0.001815333255539356,0.06529981526716437,0.13255130715619798,0.34472241649797764,0.03798260692908502,0.6745937527004067,0.1302588928398978,0.12422621778377214,0.10165460125789662,0.11770166041654101,0.11335757808718318,-0.026197347350673205,0.12602321570891534,0.32742755880671726,0.1227843102874018,0.2249272350634287,0.08950423853445949,0.13736552580675512,0.32232472982831206,0.3266958292676884,0.17446849046501944
CAND-8d000bf3ccc3,0.6202298763042747,0.5975205128585777,0.5915955443783815,0.5309263606536198,0.5576615385176581,0.5291391898140335,1.0,0.3265801911576371,0.13558113152183973,0.08100383204633786,0.3775713750823001,0.5056789407962915,0.45173146171312056,0.4961900955545069,0.05682989485177923,,,,0.16913152844960547,0.3698425263105282,0.12944823590257296,0.5572370138501757,0.11650855955825172,0.28936741931260335,0.1131302401999677,0.3464784605101756,0.29802753308734914,0.008194777166121443,0.14097114442724756,0.12517101181274531,0.11806521587222348,0.20634629823622674,,,0.1335703889556677,0.14211451854387774,0.07323607339174926,0.03184308970698975,-0.03804561117524546,0.221116073250561,0.12411571104836959,-0.06237694169460353,0.04444271152068426,0.1306316215204228,0.26887098626369677,-0.03105167221883693,0.5118299107154557,0.12799115711952058,0.11345267975046816,0.0949293115657125,0.1346330569226694,0.11864301748683063,-0.005079641013606985,0.13275687672634817,0.21747371329028306,0.11535049622947986,0.1617681071224195,0.005558303350417015,0.08875361954655063,0.42562683546064395,0.430975705302206,0.24924405246494963
CAND-c4ec6332c07f,0.46821495814251657,0.47690988673005186,0.4893184119144697,0.47143879451801607,0.442727313908123,0.42902893788586327,0.3265801911576371,1.0,0.20170970870873708,0.08914267799098266,0.2240204359280481,0.28389175684538576,0.518032007094004,0.28520183319161385,0.17023333818743583,,,,0.17079421895599892,0.3266262072829187,0.0437269959542516,0.4584828058456042,0.02022987523264507,0.21315217685173904,0.0628139293281179,0.23848381283007997,0.24679938115543892,-0.11280601844430396,0.04402959190623516,0.0014884350575689422,0.02413753035775124,0.2005194923590478,,,0.030695113925368167,0.05005546868239774,0.05281275346633856,0.029629372098580475,-0.045708339295840256,0.20507833946620213,0.012574871546470603,0.042078164315091704,0.0694354358773964,0.06901028030545832,0.1466398169793965,0.06525186430153385,0.3564046287036309,0.08692217019720398,0.07974038239680326,0.01194925097340126,0.041057641624925166,0.06834538941670111,0.008572265793174235,0.06717198843058907,0.16389448807977544,0.08377336343857555,0.1639097472235192,0.18129776450033352,0.07017301200737965,0.21371865568374657,0.21232709228932797,0.1395247472611527
CAND-e3da6fa71af1,0.2941978554929038,0.296057239022455,0.3009728769786492,0.3266125459330155,0.30200563425532523,0.256738960427246,0.13558113152183973,0.20170970870873708,1.0,0.04789226416926894,0.11686304542022863,0.08858453297292554,0.36984005574029133,0.09824978380491414,0.3492445859558571,,,,0.1542724404421574,0.37552123697926054,0.09960342292609178,0.21543418462055516,0.05638883969074877,0.09142428638687354,0.09750512472066339,0.20092467011169768,0.22755968373706992,0.007893288337319598,0.0975142551270852,0.017701089718749837,0.04493239319277225,0.23084043230983764,,,0.04800740531154577,0.11208854773741961,0.10962685313251853,0.002207782500982452,0.007968582770106468,0.22860844510167144,0.019554952195678797,0.08097029720337161,0.19196254317873795,0.16677398366412116,0.12206825505319822,0.1415240183573038,0.2025684226996462,0.15188942618397525,0.17215089768915404,0.03830564956544026,0.046796416805109695,0.15439732669726136,0.003659728445451448,0.14462342937808081,0.2238044333001695,0.1795641655684699,0.11872590201836825,0.0033268713118240157,0.05554161466394806,0.04352323621778861,0.04410516813689088,-0.02023483087482995
CAND-4440d07f973f,0.14623454940864267,0.14902101536912582,0.16937621530047334,0.14981638445701614,0.1534458458605591,0.13252303844213736,0.08100383204633786,0.08914267799098266,0.04789226416926894,1.0,0.05552077944647704,0.1886014385252646,0.13481422035091561,0.19294204489936984,0.005110436055168892,,,,0.06301871078210161,0.21851227278442406,0.005193089708952949,0.19329726591942487,0.03161153834141546,0.08768937694670388,0.01591913244373421,0.08922362147115658,0.14489023281112076,0.007748636649010752,0.024863122793778215,0.011903110377349153,0.019447226575367474,0.13267313002052683,,,0.024622522269740914,0.027085667924942037,0.03062758677993137,0.019216134966598398,0.03992419962082275,0.14698873644050994,0.01592302111437989,-0.004341520665479591,0.03493579734976941,0.011851660261733142,0.08785099123848797,0.015701986062974536,0.18115217679889647,0.017595842338325687,0.014722481422845535,0.018742725955793266,0.022854935659810335,0.013582735171895916,0.01609120456994768,0.003315072289878279,0.16011627550088547,0.01769708601065857,0.28151456287857957,0.012143691436587735,0.07874253911897289,0.12116655534043633,0.11501621617669525,-0.017063886336559145
