strategy_id,source_file,status,error,window_full,n_folds,wfa_sharpe_mean,wfa_positive_ratio,stitched_sharpe_h2,stitched_sharpe_gross,stitched_mdd_h2,oos_sharpe_h2,oos_sharpe_gross,oos_mdd_h2,oos_days,oos_ann_turnover_1side,oos_cost_bps_per_day_slip,oos_cost_bps_per_day_impact,oos_cost_bps_per_day_comm,oos_ann_drag_slip,oos_ann_drag_impact,oos_ann_drag_comm,sharpe_gross_only,sharpe_net_ex_slip,sharpe_net_ex_impact,sharpe_net_ex_comm,dsr_eff,dsr_band,n_trials_used,exam_verdict,verdict_reasons,gate_overall_passed,gate_wfa_windows,gate_oos_is_ratio,adv_sources,elapsed_s
VAL-WIZ-VALUE1-020,scripts/backtest/translated/c4_valuation_v2_wiz_value1.py,ok,,2020-01-01..2025-08-31,8.0,-0.5281,0.25,-0.817,0.1378,-0.0662,-0.9428,-0.0032,-0.0461,403.0,5.03,0.47,0.003,0.297,0.0115,0.0001,0.0072,-0.0032,-0.4524,-0.2211,-0.2882,0.0,overfitting,87.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 20}",230.6
CAND-ab4dc295d8eb,scripts/backtest/translated/c4_backlog2_mktcap5.py,ok,,2020-01-01..2025-08-31,8.0,-0.3319,0.375,-0.764,-0.363,-0.0824,-0.7441,0.0149,-0.0747,403.0,12.11,0.465,0.002,0.686,0.0113,0.0,0.0167,0.0149,-0.2992,0.0014,-0.4479,0.0002,overfitting,83.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",219.9
CAND-347a7638d04b,scripts/backtest/translated/c4_backlog3_roe_up_pb_low.py,ok,,2020-01-01..2025-08-31,8.0,-1.0505,0.125,-0.7732,0.245,-0.0947,-0.9521,0.0187,-0.0848,403.0,12.11,0.786,0.004,0.686,0.0192,0.0001,0.0167,0.0187,-0.3756,-0.2203,-0.3252,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",227.9
CAND-25028ae0c266,scripts/backtest/translated/c4_25028ae0c266_high_div5y.py,ok,,2020-01-01..2025-08-31,8.0,-1.1024,0.125,-1.1741,0.608,-0.2541,-0.7738,1.2915,-0.1416,403.0,50.86,4.555,0.031,2.88,0.1111,0.0007,0.0703,1.2915,0.0191,1.2666,0.4885,0.0001,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 4540, ""index"": 0, ""etf"": 0, ""proxy"": 0}",195.6
CAND-a016c519e8bd,scripts/backtest/translated/c4_backlog3_value_roa5_v2.py,ok,,2020-01-01..2025-08-31,8.0,0.109,0.125,0.2773,0.1017,-0.0189,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",186.7
CAND-6ba459329476,scripts/backtest/translated/c4_backlog3_value_roa5.py,ok,,2020-01-01..2025-08-31,8.0,0.2124,0.25,0.4536,0.2668,-0.0189,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",180.0
CAND-b1ab2a40225a,scripts/backtest/translated/c4_backlog3_pb_range_lowdebt.py,ok,,2020-01-01..2025-08-31,8.0,-0.7936,0.25,-0.9222,-0.2766,-0.1094,-1.0584,-0.3669,-0.0868,403.0,12.11,0.495,0.001,0.715,0.0121,0.0,0.0174,-0.3669,-0.6478,-0.405,-0.771,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",246.2
VAL-DIV-NOPEG-020,scripts/backtest/translated/c4_valuation_v2_div_nopeg.py,ok,,2020-01-01..2025-08-31,8.0,-0.9485,0.125,-1.2417,-0.0714,-0.1258,-1.3028,-0.3788,-0.097,403.0,10.78,0.856,0.004,0.638,0.0209,0.0001,0.0156,-0.3788,-0.8833,-0.4668,-0.7571,0.0,overfitting,87.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 9}",173.3
VAL-DIV-HIGH-020,scripts/backtest/translated/c4_valuation_div_high.py,ok,,2020-01-01..2025-08-31,8.0,-1.4796,0.125,-0.7688,0.1431,-0.0109,-1.0684,-0.2186,-0.0073,403.0,0.54,0.062,0.0,0.057,0.0015,0.0,0.0014,-0.2186,-0.6731,-0.2204,-0.6352,0.0,overfitting,4568.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 444, ""index"": 0, ""etf"": 0, ""proxy"": 9}",119.6
CAND-68cc0a6b40ba,scripts/backtest/translated/c4_68cc0a6b40ba_value_select.py,ok,,2020-01-01..2025-08-31,8.0,-0.1281,0.25,-0.7984,-0.2861,-0.0426,-0.4907,-0.0975,-0.021,403.0,2.42,0.093,0.0,0.137,0.0023,0.0,0.0033,-0.0975,-0.2786,-0.1002,-0.3631,0.0005,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",302.0
VAL-PB-LOW-020,scripts/backtest/translated/c4_valuation_pb_low.py,ok,,2020-01-01..2025-08-31,8.0,-1.5001,0.25,-0.7358,0.7591,-0.0117,-1.9646,0.0,-0.0008,403.0,0.0,0.012,0.0,0.012,0.0003,0.0,0.0003,0.0,-1.9525,-1.9669,-1.9596,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 343, ""index"": 2, ""etf"": 0, ""proxy"": 50}",140.1
CAND-3238a5ce80c8,scripts/backtest/translated/c4_backlog3_novice_value5.py,ok,,2020-01-01..2025-08-31,8.0,-1.0615,0.125,-1.1016,0.0908,-0.2951,-0.7367,0.6746,-0.1877,403.0,51.04,3.66,0.019,2.973,0.0893,0.0005,0.0725,0.6746,-0.0868,0.6212,0.0562,0.0003,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",346.7
VAL-PEPB-DOUBLE-020,scripts/backtest/translated/c4_valuation_pe_pb_double.py,ok,,2020-01-01..2025-08-31,8.0,-0.7156,0.375,-0.8184,0.0648,-0.1421,-0.9068,-0.2338,-0.0856,403.0,12.11,0.572,0.002,0.715,0.014,0.0,0.0174,-0.2338,-0.5361,-0.2347,-0.6112,0.0,overfitting,4568.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 299, ""index"": 0, ""etf"": 0, ""proxy"": 0}",177.8
VAL-WIZ-CITICS-020,scripts/backtest/translated/c4_valuation_v2_wiz_citics.py,ok,,2020-01-01..2025-08-31,8.0,-0.6839,0.25,-0.5052,0.5252,-0.0079,-0.9779,0.2105,-0.0043,403.0,0.58,0.058,0.0,0.045,0.0014,0.0,0.0011,0.2105,-0.4922,0.2116,-0.3364,0.0,overfitting,87.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 2, ""etf"": 0, ""proxy"": 50}",162.1
CAND-091fee38cd01,scripts/backtest/translated/c4_091fee38cd01_alpha022.py,ok,,2020-01-01..2025-08-31,8.0,-1.3633,0.25,-0.9978,-0.3795,-0.1688,-0.5548,0.1249,-0.0487,403.0,12.11,0.54,0.002,0.686,0.0132,0.0001,0.0167,0.1249,-0.1754,0.1235,-0.2562,0.0004,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 299, ""index"": 0, ""etf"": 0, ""proxy"": 0}",77.0
CAND-65ae80c577c9,scripts/backtest/translated/c4_65ae80c577c9_small_cap95.py,ok,,2020-01-01..2025-08-31,8.0,-0.4504,0.25,-0.9544,-0.0483,-0.2575,-1.2168,-0.5641,-0.2177,403.0,12.11,1.215,0.003,1.459,0.0296,0.0001,0.0356,-0.5641,-0.8508,-0.6181,-0.908,0.0,overfitting,4568.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 4540, ""index"": 0, ""etf"": 0, ""proxy"": 0}",453.5
CAND-5e3284032a17,scripts/backtest/translated/c4_backlog2_wiz_largecap.py,ok,,2020-01-01..2025-08-31,8.0,-1.0757,0.25,-1.093,0.3693,-0.2495,-0.9475,0.6673,-0.14,403.0,50.86,1.976,0.004,3.001,0.0482,0.0001,0.0732,0.6673,0.0313,0.623,-0.2987,0.0001,overfitting,83.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",201.9
VAL-PB-LOWTURN-035,scripts/backtest/translated/c4_valuation_v2_pb_lowturn.py,ok,,2020-01-01..2025-08-31,8.0,-0.9286,0.125,-1.0407,0.5294,-0.0204,-1.1951,0.3192,-0.0094,403.0,1.44,0.12,0.0,0.113,0.0029,0.0,0.0028,0.3192,-0.3797,0.1389,-0.343,0.0,overfitting,87.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 2, ""etf"": 0, ""proxy"": 69}",164.3
CAND-99873fd0bc17,scripts/backtest/translated/c4_99873fd0bc17_macd_single.py,ok,,2020-01-01..2025-08-31,8.0,-2.8286,0.125,-2.8168,0.328,-0.9268,-1.3927,1.3583,-0.5325,403.0,236.73,15.198,0.065,14.891,0.3708,0.0016,0.3633,1.3583,-0.0291,1.3523,-0.001,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 496, ""index"": 0, ""etf"": 0, ""proxy"": 0}",110.1
CAND-bb0b9f37ce93,scripts/backtest/translated/c4_backlog3_div_roe5.py,ok,,2020-01-01..2025-08-31,8.0,-0.7385,0.25,-1.1675,-0.48,-0.1936,-1.5699,-0.9147,-0.1427,403.0,12.11,0.891,0.006,0.686,0.0217,0.0001,0.0167,-0.9147,-1.3252,-0.8808,-1.2337,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",220.4
CAND-9519cb55d6b7,scripts/backtest/translated/c4_backlog3_peg_ebit_tiny.py,ok,,2020-01-01..2025-08-31,8.0,-0.6535,0.25,-1.2299,-0.1016,-0.2633,-1.5132,-0.6317,-0.2236,403.0,12.11,1.361,0.014,0.686,0.0332,0.0003,0.0167,-0.6317,-0.9795,-0.9922,-0.809,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=2/8, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,2/8,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",175.9
VAL-PE-ZZ500-020,scripts/backtest/translated/c4_valuation_pe_zz500.py,ok,,2020-01-01..2025-08-31,8.0,-1.2654,0.0,-1.1268,-0.4884,-0.0167,-1.168,-0.457,-0.0074,403.0,0.67,0.056,0.0,0.046,0.0014,0.0,0.0011,-0.457,-0.8502,-0.4619,-0.7796,0.0,overfitting,4568.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 569, ""index"": 0, ""etf"": 0, ""proxy"": 20}",151.8
CAND-38cceabf3946,scripts/backtest/translated/c4_backlog3_mclean_rev_accel.py,ok,,2020-01-01..2025-08-31,8.0,-0.7817,0.25,-1.0041,-0.6134,-0.1203,-1.1258,-0.552,-0.0959,403.0,12.11,0.472,0.001,0.686,0.0115,0.0,0.0167,-0.552,-0.7911,-0.568,-0.8978,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",202.9
CAND-b1fb7e2246dd,scripts/backtest/translated/c4_backlog3_peg_ebit_tiny2.py,ok,,2020-01-01..2025-08-31,8.0,-0.2382,0.5,-0.9187,0.0596,-0.2749,-1.3843,-0.6179,-0.2436,403.0,12.11,1.339,0.014,0.686,0.0327,0.0003,0.0167,-0.6179,-0.931,-0.9153,-0.7803,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=4/8, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,4/8,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",192.9
CAND-e8017cc1adc5,scripts/backtest/translated/c4_e8017cc1adc5_cheap_stock.py,ok,,2020-01-01..2025-08-31,8.0,-0.8945,0.125,-1.2934,-0.3399,-0.0158,-1.0112,0.3608,-0.0083,403.0,1.82,0.119,0.001,0.103,0.0029,0.0,0.0025,0.3608,-0.443,0.363,-0.3494,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",193.5
CAND-79ae77fb3af7,scripts/backtest/translated/c4_backlog3_peg_growth_tiny.py,ok,,2020-01-01..2025-08-31,8.0,-0.3731,0.375,-0.8993,-0.2354,-0.2705,-1.151,-0.6116,-0.2288,403.0,12.11,1.357,0.016,0.686,0.0331,0.0004,0.0167,-0.6116,-0.8951,-0.7385,-0.7562,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=3/8, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,3/8,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",161.4
CAND-93aa8f5a2bdd,scripts/backtest/translated/c4_93aa8f5a2bdd_multi_period.py,timeout,driver mark timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL-DIV-PRETTY50-010,scripts/backtest/translated/c4_valuation_v2_pretty50_div.py,ok,,2020-01-01..2025-08-31,8.0,-2.0642,0.125,-2.3414,-0.4066,-0.3336,-1.8868,0.3581,-0.1916,403.0,40.69,3.225,0.018,2.304,0.0787,0.0004,0.0562,0.3581,-0.8405,0.1489,-0.4995,0.0,overfitting,87.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 4}",126.5
CAND-0319395c57a7,scripts/backtest/translated/c4_backlog3_mclean_screen.py,ok,,2020-01-01..2025-08-31,8.0,-0.4945,0.25,-0.9092,-0.2427,-0.2779,-1.0783,-0.6449,-0.2202,403.0,12.11,1.289,0.009,0.686,0.0315,0.0002,0.0167,-0.6449,-0.9302,-0.658,-0.7978,0.0,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=2/8, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,2/8,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",152.3
CAND-2b351fd05d5f,scripts/backtest/translated/c4_2b351fd05d5f_ultrashort_lowopen.py,ok,,2020-01-01..2025-08-31,8.0,-1.1407,0.375,-1.3902,-0.3432,-0.8134,-2.189,-0.932,-0.7343,403.0,117.76,9.315,0.14,6.668,0.2273,0.0033,0.1627,-0.932,-1.6328,-0.9933,-1.4347,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 3160, ""index"": 0, ""etf"": 0, ""proxy"": 0}",114.6
CAND-6cb29d4d9ba8,scripts/backtest/translated/c4_6cb29d4d9ba8_mom_rev_300.py,ok,,2020-01-01..2025-08-31,8.0,-0.328,0.375,-0.3613,-0.1981,-0.0411,-0.8023,-0.7098,-0.0387,403.0,1.21,0.062,0.0,0.076,0.0015,0.0,0.0019,-0.7098,-0.7517,-0.7099,-0.7629,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 299, ""index"": 0, ""etf"": 0, ""proxy"": 0}",62.5
CAND-9c0136ec8f42,scripts/backtest/translated/c4_9c0136ec8f42_kucoffee_trend.py,ok,,2020-01-01..2025-08-31,8.0,-0.4543,0.375,-0.1735,0.182,-0.3083,-0.4423,-0.0153,-0.1518,403.0,21.19,0.875,0.006,1.2,0.0213,0.0001,0.0293,-0.0153,-0.1951,-0.0165,-0.2616,0.0007,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 279, ""index"": 0, ""etf"": 0, ""proxy"": 0}",135.0
CAND-c30a620e114d,scripts/backtest/translated/c4_c30a620e114d_boll_break.py,ok,,2020-01-01..2025-08-31,8.0,-0.3866,0.375,-0.4863,-0.4428,-0.3532,-1.1102,-1.0678,-0.2876,403.0,2.72,0.105,0.0,0.154,0.0026,0.0,0.0038,-1.0678,-1.0849,-1.0678,-1.0931,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 1, ""index"": 0, ""etf"": 0, ""proxy"": 0}",38.8
CAND-c21459b71a42,scripts/backtest/translated/c4_c21459b71a42_boll_np.py,ok,,2020-01-01..2025-08-31,8.0,-0.458,0.375,-0.5619,-0.5134,-0.3685,-1.1882,-1.1349,-0.2994,403.0,3.33,0.128,0.001,0.189,0.0031,0.0,0.0046,-1.1349,-1.1564,-1.135,-1.1667,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 1, ""index"": 0, ""etf"": 0, ""proxy"": 0}",37.7
CAND-e40a0a1bcda8,scripts/backtest/translated/c4_e40a0a1bcda8_ma5_ma10.py,ok,,2020-01-01..2025-08-31,8.0,-1.1781,0.125,-0.9319,-0.627,-0.5053,-1.362,-1.0152,-0.2834,403.0,19.07,0.855,0.009,1.08,0.0209,0.0002,0.0263,-1.0152,-1.1681,-1.0168,-1.2088,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 1, ""index"": 0, ""etf"": 0, ""proxy"": 0}",38.7
