strategy_id,source_file,status,error,window_full,n_folds,wfa_sharpe_mean,wfa_positive_ratio,stitched_sharpe_h2,stitched_sharpe_gross,stitched_mdd_h2,oos_sharpe_h2,oos_sharpe_gross,oos_mdd_h2,oos_days,oos_ann_turnover_1side,oos_cost_bps_per_day_slip,oos_cost_bps_per_day_impact,oos_cost_bps_per_day_comm,oos_ann_drag_slip,oos_ann_drag_impact,oos_ann_drag_comm,sharpe_gross_only,sharpe_net_ex_slip,sharpe_net_ex_impact,sharpe_net_ex_comm,dsr_eff,dsr_band,n_trials_used,exam_verdict,verdict_reasons,gate_overall_passed,gate_wfa_windows,gate_oos_is_ratio,adv_sources,elapsed_s
CAND-a4543012b464,scripts/backtest/translated/c4_a4543012b464_trend5.py,ok,,2020-01-01..2025-08-31,8.0,-0.0319,0.375,-0.4017,-0.123,-0.8301,0.5095,0.7847,-0.4761,403.0,46.19,1.819,0.007,2.809,0.0444,0.0002,0.0685,0.7847,0.6767,0.7843,0.6179,0.0247,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 279, ""index"": 0, ""etf"": 0, ""proxy"": 0}",99.0
CAND-eaddc3f9db4e,scripts/backtest/translated/c4_eaddc3f9db4e_rsrs_r2.py,ok,,2020-01-01..2025-08-31,8.0,-0.0792,0.25,-0.0603,-0.0052,-0.3136,0.9957,1.028,-0.1296,403.0,2.12,0.081,0.0,0.12,0.002,0.0,0.0029,1.028,1.015,1.028,1.0088,0.0983,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",3.7
CAND-29eb91dbaf60,scripts/backtest/translated/c4_29eb91dbaf60_crash_dodge.py,ok,,2020-01-01..2025-08-31,8.0,0.5159,0.5,-0.1014,-0.0924,-0.2865,0.8877,0.8987,-0.109,403.0,0.61,0.023,0.0,0.034,0.0006,0.0,0.0008,0.8987,0.8943,0.8987,0.8921,0.0606,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",3.0
CAND-d06cab686cef,scripts/backtest/translated/c4_d06cab686cef_rsrs_opt.py,ok,,2020-01-01..2025-08-31,8.0,0.025,0.25,0.0093,0.0752,-0.2755,0.9161,0.968,-0.1474,403.0,3.33,0.128,0.0,0.189,0.0031,0.0,0.0046,0.968,0.9471,0.968,0.9371,0.0807,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",2.2
CAND-dc5b80aa3614,scripts/backtest/translated/c4_dc5b80aa3614_tsmall100.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-fd47fa0e6401,scripts/backtest/translated/c4_fd47fa0e6401_macd_resonance.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-12286499cb19,scripts/backtest/translated/c4_12286499cb19_rsrs_60m.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-5efe26d1992e,scripts/backtest/translated/c4_5efe26d1992e_rsrs_timing.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-7f7e5f935dfc,scripts/backtest/translated/c4_7f7e5f935dfc_dmi_timing.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-9ce75aa27ce5,scripts/backtest/translated/c4_9ce75aa27ce5_bluechip_ma.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-c72318f2da1c,scripts/backtest/translated/c4_c72318f2da1c_bias_ql.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-6485e4cd0844,scripts/backtest/translated/c4_6485e4cd0844_kdj_timing.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-f284270f0ef0,scripts/backtest/translated/c4_f284270f0ef0_macd_timing.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-311220235636,scripts/backtest/translated/c4_311220235636_slater_value.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-8664521af1a0,scripts/backtest/translated/c4_8664521af1a0_snake_cap.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-c7a8ddbab748,scripts/backtest/translated/c4_c7a8ddbab748_ma10_ma5.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-06d4cf3d7dcc,scripts/backtest/translated/c4_06d4cf3d7dcc_pairs_zscore.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-ea8b60272c03,scripts/backtest/translated/c4_ea8b60272c03_300etf_1060.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-b37f550ba2af,scripts/backtest/translated/c4_b37f550ba2af_gftd.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-5301c5d9d7c8,scripts/backtest/translated/c4_5301c5d9d7c8_small_cap_hl.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-9c0424f53fe4,scripts/backtest/translated/c4_9c0424f53fe4_zscore_meanrev5.py,ok,,2020-01-01..2025-08-31,8.0,-0.1844,0.375,-0.2047,-0.0035,-0.3069,-0.0836,0.0848,-0.1456,403.0,9.23,0.379,0.002,0.523,0.0092,0.0001,0.0128,0.0848,0.0141,0.0843,-0.0128,0.0031,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5, ""index"": 0, ""etf"": 0, ""proxy"": 0}",52.7
CAND-14d3e787ea4b,scripts/backtest/translated/c4_14d3e787ea4b_cgo_factor.py,ok,,2020-01-01..2025-08-31,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",268.5
CAND-1970782c2adb,scripts/backtest/translated/c4_1970782c2adb_ma_pullback.py,ok,,2020-01-01..2025-08-31,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",337.3
CAND-fdbc279fba99,scripts/backtest/translated/c4_fdbc279fba99_rps_oinl.py,ok,,2020-01-01..2025-08-31,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 299, ""index"": 0, ""etf"": 0, ""proxy"": 0}",135.0
CAND-e2e7f033d97c,scripts/backtest/translated/c4_e2e7f033d97c_kd_cross.py,ok,,2020-01-01..2025-08-31,8.0,0.017,0.75,0.2235,0.4423,-0.5166,0.3683,0.5153,-0.4175,403.0,20.89,1.472,0.021,1.183,0.0359,0.0005,0.0289,0.5153,0.4343,0.5141,0.4503,0.0158,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 1, ""index"": 0, ""etf"": 0, ""proxy"": 0}",53.1
CAND-6a6ec8869ddb,scripts/backtest/translated/c4_6a6ec8869ddb_momentum62.py,ok,,2020-01-01..2025-08-31,8.0,0.7574,0.5,0.2013,0.8079,-0.4334,0.1499,0.6585,-0.3685,403.0,64.24,4.962,0.027,3.637,0.1211,0.0006,0.0888,0.6585,0.3822,0.6198,0.456,0.0074,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=4/8, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,4/8,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",297.9
CAND-751983843b3f,scripts/backtest/translated/c4_backlog3_growth_peg4.py,ok,,2020-01-01..2025-08-31,8.0,-1.2259,0.125,-1.2387,-0.4824,-0.156,-0.9088,0.0411,-0.0829,403.0,12.11,1.241,0.015,0.686,0.0303,0.0003,0.0167,0.0411,-0.5326,-0.0516,-0.277,0.0001,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",179.0
CAND-bd42540f86e4,scripts/backtest/translated/c4_bd42540f86e4_pe_pb.py,ok,,2020-01-01..2025-08-31,8.0,-0.1725,0.375,-0.6447,-0.4177,-0.6305,0.1945,0.3912,-0.3055,403.0,17.32,0.765,0.003,0.98,0.0187,0.0001,0.0239,0.3912,0.3051,0.3908,0.2809,0.0087,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 299, ""index"": 0, ""etf"": 0, ""proxy"": 0}",276.0
VAL-DIV-STEADY-005,scripts/backtest/translated/c4_valuation_v2_div_steady5.py,ok,,2020-01-01..2025-08-31,8.0,-0.967,0.25,-1.1472,-0.1041,-0.1104,-1.3185,-0.6735,-0.0809,403.0,8.48,0.605,0.004,0.48,0.0148,0.0001,0.0117,-0.6735,-1.0672,-0.6516,-0.9882,0.0,overfitting,87.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 2}",198.3
CAND-40ca0da1a3ca,scripts/backtest/translated/c4_40ca0da1a3ca_value55.py,timeout,driver mark timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-2e4d39a3f50b,scripts/backtest/translated/c4_2e4d39a3f50b_multi_ma.py,ok,,2020-01-01..2025-08-31,8.0,-0.8119,0.125,-0.6334,-0.5825,-0.4927,-0.6825,-0.5951,-0.2544,403.0,3.94,0.233,0.003,0.223,0.0057,0.0001,0.0054,-0.5951,-0.6396,-0.5956,-0.6377,0.0002,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 1, ""index"": 0, ""etf"": 0, ""proxy"": 0}",55.1
CAND-4879b2c6f2bb,scripts/backtest/translated/c4_4879b2c6f2bb_div_value.py,ok,,2020-01-01..2025-08-31,8.0,-0.0581,0.375,-0.4671,0.3464,-0.116,-0.5092,0.1501,-0.0978,403.0,12.11,0.955,0.005,0.686,0.0233,0.0001,0.0167,0.1501,-0.2112,0.0934,-0.1098,0.0004,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 4540, ""index"": 0, ""etf"": 0, ""proxy"": 0}",350.6
CAND-21af8c66c15e,scripts/backtest/translated/c4_21af8c66c15e_small_cap.py,timeout,driver mark timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-4da841c734ae,scripts/backtest/translated/c4_backlog3_wiz63_growth_pb2.py,ok,,2020-01-01..2025-08-31,8.0,-0.8282,0.25,-1.0482,-0.0559,-0.3562,-0.5857,0.5839,-0.1844,403.0,50.86,2.214,0.005,3.001,0.054,0.0001,0.0732,0.5839,0.1112,0.5145,-0.057,0.0006,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",251.0
CAND-a5ac9cc45ab3,scripts/backtest/translated/c4_backlog3_wiz61_growth_quality.py,ok,,2020-01-01..2025-08-31,8.0,-0.6095,0.25,-1.0468,0.0058,-0.3688,-0.4522,0.8041,-0.1828,403.0,50.98,2.771,0.009,3.009,0.0676,0.0002,0.0734,0.8041,0.27,0.6553,0.2242,0.001,overfitting,95.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",241.6
VAL-PE-LOW-020,scripts/backtest/translated/c4_valuation_pe_low.py,ok,,2020-01-01..2025-08-31,8.0,-1.0148,0.125,-0.8066,-0.3284,-0.011,-1.3371,0.0,-0.0008,403.0,0.0,0.013,0.0,0.007,0.0003,0.0,0.0002,0.0,-1.3244,-1.2598,-1.3303,0.0,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 377, ""index"": 0, ""etf"": 0, ""proxy"": 20}",132.0
