rank_h10_is,column_name,prior_coverage,f_entry_id,factor_nature,horizon,window,bucket,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,n_days_bucket,top10_pool
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,IS,vol_low,-0.05339,0.13163,-0.4056,-6.702,273,0.326,274.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,IS,vol_mid,-0.04456,0.13469,-0.3308,-5.624,289,0.3875,289.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,OOS,overall,-0.07697,0.1567,-0.4912,-12.505,648,0.3102,,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,OOS,vol_high,-0.11786,0.2009,-0.5866,-9.145,243,0.3045,243.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,OOS,vol_low,-0.04389,0.10625,-0.4131,-5.291,164,0.3537,168.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,OOS,vol_mid,-0.05826,0.12263,-0.4751,-7.376,241,0.2863,248.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,IS,overall,-0.06765,0.1405,-0.4814,-12.972,726,0.3251,,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,IS,vol_high,-0.10328,0.10676,-0.9674,-12.389,164,0.1402,164.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,IS,vol_low,-0.06486,0.14146,-0.4585,-7.575,273,0.337,274.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,IS,vol_mid,-0.05006,0.15266,-0.3279,-5.574,289,0.4187,289.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,OOS,overall,-0.0846,0.16217,-0.5217,-13.188,639,0.3099,,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,OOS,vol_high,-0.14624,0.20898,-0.6998,-10.863,241,0.2282,243.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,OOS,vol_low,-0.05532,0.10548,-0.5245,-6.717,164,0.3293,168.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,20,OOS,vol_mid,-0.04164,0.11337,-0.3673,-5.619,234,0.3803,248.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,IS,overall,-0.03339,0.10086,-0.3311,-8.784,704,0.3722,,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,IS,vol_high,-0.03617,0.09576,-0.3777,-4.837,164,0.3476,164.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,IS,vol_low,-0.03114,0.103,-0.3023,-4.985,272,0.375,274.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,IS,vol_mid,-0.03398,0.10201,-0.3331,-5.453,268,0.3843,289.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,OOS,overall,-0.05533,0.12545,-0.441,-11.2,645,0.3225,,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,OOS,vol_high,-0.06396,0.1594,-0.4013,-6.255,243,0.3621,243.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,OOS,vol_low,-0.05737,0.09031,-0.6352,-8.135,164,0.2439,168.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,5,OOS,vol_mid,-0.0451,0.10501,-0.4295,-6.626,238,0.3361,248.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,IS,overall,-0.04188,0.10015,-0.4182,-11.096,704,0.3338,,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,IS,vol_high,-0.04968,0.09184,-0.541,-6.928,164,0.2927,164.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,IS,vol_low,-0.03595,0.1008,-0.3566,-5.882,272,0.3088,274.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,IS,vol_mid,-0.04313,0.10427,-0.4136,-6.772,268,0.3843,289.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,OOS,overall,-0.06356,0.12411,-0.5122,-13.007,645,0.3101,,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,OOS,vol_high,-0.07296,0.15847,-0.4604,-7.177,243,0.3704,243.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,OOS,vol_low,-0.068,0.07753,-0.8771,-11.232,164,0.2012,168.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,10,OOS,vol_mid,-0.05092,0.10869,-0.4684,-7.227,238,0.3235,248.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,IS,overall,-0.05915,0.10488,-0.564,-14.964,704,0.2969,,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,IS,vol_high,-0.07721,0.08826,-0.8749,-11.204,164,0.2134,164.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,IS,vol_low,-0.05383,0.10246,-0.5254,-8.666,272,0.2831,274.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,IS,vol_mid,-0.0535,0.11529,-0.464,-7.596,268,0.3619,289.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,OOS,overall,-0.07454,0.12252,-0.6084,-15.38,639,0.2598,,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,OOS,vol_high,-0.09144,0.1597,-0.5726,-8.889,241,0.2946,243.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,OOS,vol_low,-0.08171,0.06706,-1.2184,-15.604,164,0.0915,168.0,y
10,wvad_24,l1_pending,IND-VOLUME-007 WVAD,oscillator,20,OOS,vol_mid,-0.05211,0.10415,-0.5003,-7.653,234,0.3419,248.0,y
11,ppo,f_screened,FCT-TECH-067,oscillator,5,IS,overall,-0.04608,0.14257,-0.3232,-8.709,726,0.3774,,
11,ppo,f_screened,FCT-TECH-067,oscillator,5,IS,vol_high,-0.04916,0.14529,-0.3384,-4.333,164,0.3598,164.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,5,IS,vol_low,-0.0469,0.13323,-0.352,-5.816,273,0.348,274.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,5,IS,vol_mid,-0.04357,0.14982,-0.2908,-4.943,289,0.4152,289.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,5,OOS,overall,-0.06593,0.1738,-0.3794,-9.702,654,0.3578,,
11,ppo,f_screened,FCT-TECH-067,oscillator,5,OOS,vol_high,-0.08342,0.22955,-0.3634,-5.665,243,0.4115,243.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,5,OOS,vol_low,-0.04453,0.11415,-0.3901,-4.996,164,0.3598,168.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,5,OOS,vol_mid,-0.06294,0.13818,-0.4555,-7.158,247,0.3036,248.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,IS,overall,-0.05566,0.13899,-0.4004,-10.789,726,0.3815,,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,IS,vol_high,-0.06139,0.13208,-0.4648,-5.952,164,0.3537,164.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,IS,vol_low,-0.05441,0.13604,-0.3999,-6.608,273,0.3663,274.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,IS,vol_mid,-0.05358,0.14579,-0.3675,-6.248,289,0.4118,289.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,OOS,overall,-0.08072,0.16736,-0.4823,-12.287,649,0.3359,,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,OOS,vol_high,-0.11113,0.21953,-0.5062,-7.891,243,0.3663,243.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,OOS,vol_low,-0.05262,0.10004,-0.526,-6.736,164,0.3354,168.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,10,OOS,vol_mid,-0.06922,0.1362,-0.5082,-7.906,242,0.3058,248.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,IS,overall,-0.07132,0.14228,-0.5013,-13.507,726,0.3361,,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,IS,vol_high,-0.09575,0.118,-0.8115,-10.392,164,0.189,164.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,IS,vol_low,-0.07294,0.14328,-0.5091,-8.411,273,0.3187,274.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,IS,vol_mid,-0.05593,0.15202,-0.3679,-6.255,289,0.436,289.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,OOS,overall,-0.09469,0.16546,-0.5722,-14.466,639,0.277,,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,OOS,vol_high,-0.14593,0.2125,-0.6867,-10.661,241,0.2407,243.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,OOS,vol_low,-0.06551,0.09289,-0.7052,-9.031,164,0.2317,168.0,
11,ppo,f_screened,FCT-TECH-067,oscillator,20,OOS,vol_mid,-0.06236,0.13437,-0.4641,-7.1,234,0.3462,248.0,
12,pdi_14,none,,oscillator,5,IS,overall,-0.03968,0.10205,-0.3888,-10.39,714,0.3571,,
12,pdi_14,none,,oscillator,5,IS,vol_high,-0.03378,0.1002,-0.3371,-4.317,164,0.3171,164.0,
12,pdi_14,none,,oscillator,5,IS,vol_low,-0.04921,0.10357,-0.4751,-7.836,272,0.364,274.0,
12,pdi_14,none,,oscillator,5,IS,vol_mid,-0.03384,0.10129,-0.3341,-5.571,278,0.3741,289.0,
12,pdi_14,none,,oscillator,5,OOS,overall,-0.06912,0.12798,-0.5401,-13.716,645,0.2729,,
12,pdi_14,none,,oscillator,5,OOS,vol_high,-0.08579,0.1632,-0.5257,-8.194,243,0.2881,243.0,
12,pdi_14,none,,oscillator,5,OOS,vol_low,-0.06606,0.08446,-0.782,-10.015,164,0.2073,168.0,
12,pdi_14,none,,oscillator,5,OOS,vol_mid,-0.05421,0.10902,-0.4972,-7.671,238,0.3025,248.0,
12,pdi_14,none,,oscillator,10,IS,overall,-0.0404,0.10432,-0.3873,-10.349,714,0.3389,,
12,pdi_14,none,,oscillator,10,IS,vol_high,-0.03168,0.10735,-0.2951,-3.78,164,0.3171,164.0,
12,pdi_14,none,,oscillator,10,IS,vol_low,-0.05106,0.10307,-0.4954,-8.171,272,0.3125,274.0,
12,pdi_14,none,,oscillator,10,IS,vol_mid,-0.03512,0.10322,-0.3402,-5.673,278,0.3777,289.0,
12,pdi_14,none,,oscillator,10,OOS,overall,-0.07786,0.12254,-0.6354,-16.136,645,0.231,,
12,pdi_14,none,,oscillator,10,OOS,vol_high,-0.09585,0.15889,-0.6032,-9.404,243,0.284,243.0,
12,pdi_14,none,,oscillator,10,OOS,vol_low,-0.07874,0.07734,-1.0181,-13.038,164,0.1098,168.0,
12,pdi_14,none,,oscillator,10,OOS,vol_mid,-0.05888,0.10108,-0.5825,-8.987,238,0.2605,248.0,
12,pdi_14,none,,oscillator,20,IS,overall,-0.05311,0.10579,-0.5021,-13.416,714,0.3319,,
12,pdi_14,none,,oscillator,20,IS,vol_high,-0.05912,0.10541,-0.5609,-7.183,164,0.25,164.0,
12,pdi_14,none,,oscillator,20,IS,vol_low,-0.05938,0.10642,-0.558,-9.202,272,0.3676,274.0,
12,pdi_14,none,,oscillator,20,IS,vol_mid,-0.04344,0.10504,-0.4135,-6.894,278,0.3453,289.0,
12,pdi_14,none,,oscillator,20,OOS,overall,-0.08326,0.12183,-0.6834,-17.275,639,0.2238,,
12,pdi_14,none,,oscillator,20,OOS,vol_high,-0.1172,0.1569,-0.747,-11.596,241,0.1826,243.0,
12,pdi_14,none,,oscillator,20,OOS,vol_low,-0.07391,0.07179,-1.0296,-13.185,164,0.1341,168.0,
12,pdi_14,none,,oscillator,20,OOS,vol_mid,-0.05485,0.09806,-0.5594,-8.557,234,0.3291,248.0,
13,supertrend_dir,none,,signal,5,IS,overall,-0.03458,0.09787,-0.3533,-9.466,718,0.3593,,
13,supertrend_dir,none,,signal,5,IS,vol_high,-0.04212,0.10379,-0.4058,-5.197,164,0.3232,164.0,
13,supertrend_dir,none,,signal,5,IS,vol_low,-0.02901,0.09787,-0.2964,-4.889,272,0.3787,274.0,
13,supertrend_dir,none,,signal,5,IS,vol_mid,-0.03556,0.0943,-0.3771,-6.332,282,0.3617,289.0,
13,supertrend_dir,none,,signal,5,OOS,overall,-0.04878,0.11586,-0.421,-10.693,645,0.338,,
13,supertrend_dir,none,,signal,5,OOS,vol_high,-0.07011,0.14556,-0.4816,-7.508,243,0.3498,243.0,
13,supertrend_dir,none,,signal,5,OOS,vol_low,-0.02382,0.07566,-0.3149,-4.032,164,0.378,168.0,
13,supertrend_dir,none,,signal,5,OOS,vol_mid,-0.04421,0.09994,-0.4424,-6.825,238,0.2983,248.0,
13,supertrend_dir,none,,signal,10,IS,overall,-0.03962,0.10269,-0.3859,-10.339,718,0.3705,,
13,supertrend_dir,none,,signal,10,IS,vol_high,-0.05092,0.10057,-0.5063,-6.484,164,0.2805,164.0,
13,supertrend_dir,none,,signal,10,IS,vol_low,-0.0338,0.10663,-0.317,-5.228,272,0.4044,274.0,
13,supertrend_dir,none,,signal,10,IS,vol_mid,-0.03867,0.09983,-0.3874,-6.505,282,0.3901,289.0,
13,supertrend_dir,none,,signal,10,OOS,overall,-0.05555,0.11527,-0.4819,-12.24,645,0.3256,,
13,supertrend_dir,none,,signal,10,OOS,vol_high,-0.07942,0.14343,-0.5537,-8.632,243,0.3128,243.0,
13,supertrend_dir,none,,signal,10,OOS,vol_low,-0.0283,0.07582,-0.3733,-4.78,164,0.3841,168.0,
13,supertrend_dir,none,,signal,10,OOS,vol_mid,-0.04996,0.10008,-0.4992,-7.702,238,0.2983,248.0,
13,supertrend_dir,none,,signal,20,IS,overall,-0.05072,0.1112,-0.4561,-12.221,718,0.376,,
13,supertrend_dir,none,,signal,20,IS,vol_high,-0.07687,0.09235,-0.8324,-10.66,164,0.25,164.0,
13,supertrend_dir,none,,signal,20,IS,vol_low,-0.04837,0.11562,-0.4183,-6.899,272,0.3676,274.0,
13,supertrend_dir,none,,signal,20,IS,vol_mid,-0.03777,0.11463,-0.3295,-5.533,282,0.4574,289.0,
13,supertrend_dir,none,,signal,20,OOS,overall,-0.06427,0.11676,-0.5504,-13.914,639,0.2739,,
13,supertrend_dir,none,,signal,20,OOS,vol_high,-0.10347,0.14539,-0.7117,-11.049,241,0.2158,243.0,
13,supertrend_dir,none,,signal,20,OOS,vol_low,-0.03176,0.07393,-0.4296,-5.501,164,0.3476,168.0,
13,supertrend_dir,none,,signal,20,OOS,vol_mid,-0.04668,0.09534,-0.4896,-7.49,234,0.2821,248.0,
14,trma,none,,level,5,IS,overall,-0.04024,0.1415,-0.2844,-7.605,715,0.3734,,
14,trma,none,,level,5,IS,vol_high,-0.04398,0.14228,-0.3091,-3.958,164,0.3598,164.0,
14,trma,none,,level,5,IS,vol_low,-0.03797,0.13094,-0.29,-4.783,272,0.3603,274.0,
14,trma,none,,level,5,IS,vol_mid,-0.04027,0.15108,-0.2665,-4.452,279,0.3943,289.0,
14,trma,none,,level,5,OOS,overall,-0.05081,0.17175,-0.2958,-7.513,645,0.4093,,
14,trma,none,,level,5,OOS,vol_high,-0.06443,0.2119,-0.3041,-4.74,243,0.4115,243.0,
14,trma,none,,level,5,OOS,vol_low,-0.02777,0.12616,-0.2201,-2.819,164,0.4329,168.0,
14,trma,none,,level,5,OOS,vol_mid,-0.05278,0.15097,-0.3496,-5.393,238,0.3908,248.0,
14,trma,none,,level,10,IS,overall,-0.05282,0.13823,-0.3822,-10.219,715,0.372,,
14,trma,none,,level,10,IS,vol_high,-0.06172,0.13152,-0.4692,-6.009,164,0.3171,164.0,
14,trma,none,,level,10,IS,vol_low,-0.04994,0.13047,-0.3828,-6.313,272,0.3566,274.0,
14,trma,none,,level,10,IS,vol_mid,-0.05041,0.14925,-0.3377,-5.641,279,0.4194,289.0,
14,trma,none,,level,10,OOS,overall,-0.06181,0.16894,-0.3659,-9.292,645,0.4,,
14,trma,none,,level,10,OOS,vol_high,-0.08847,0.2129,-0.4155,-6.478,243,0.4115,243.0,
14,trma,none,,level,10,OOS,vol_low,-0.02525,0.11346,-0.2226,-2.85,164,0.4451,168.0,
14,trma,none,,level,10,OOS,vol_mid,-0.05979,0.14409,-0.4149,-6.401,238,0.3571,248.0,
14,trma,none,,level,20,IS,overall,-0.06884,0.14059,-0.4897,-13.094,715,0.3483,,
14,trma,none,,level,20,IS,vol_high,-0.08697,0.11817,-0.736,-9.426,164,0.25,164.0,
14,trma,none,,level,20,IS,vol_low,-0.0722,0.13834,-0.5219,-8.607,272,0.3309,274.0,
14,trma,none,,level,20,IS,vol_mid,-0.05492,0.15337,-0.3581,-5.981,279,0.4229,289.0,
14,trma,none,,level,20,OOS,overall,-0.07133,0.15553,-0.4586,-11.594,639,0.3255,,
14,trma,none,,level,20,OOS,vol_high,-0.11357,0.19033,-0.5967,-9.263,241,0.2988,243.0,
14,trma,none,,level,20,OOS,vol_low,-0.04557,0.0903,-0.5046,-6.462,164,0.2805,168.0,
14,trma,none,,level,20,OOS,vol_mid,-0.04589,0.14231,-0.3224,-4.932,234,0.3846,248.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,IS,overall,-0.05105,0.17819,-0.2865,-7.655,714,0.4272,,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,IS,vol_high,-0.07402,0.18719,-0.3954,-5.064,164,0.372,164.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,IS,vol_low,-0.0272,0.17244,-0.1578,-2.602,272,0.489,274.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,IS,vol_mid,-0.06084,0.17622,-0.3452,-5.756,278,0.3993,289.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,OOS,overall,-0.02812,0.19033,-0.1477,-3.752,645,0.4419,,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,OOS,vol_high,-0.0266,0.22043,-0.1207,-1.881,243,0.4486,243.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,OOS,vol_low,-0.02016,0.18165,-0.111,-1.421,164,0.4634,168.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,5,OOS,vol_mid,-0.03516,0.16133,-0.2179,-3.362,238,0.4202,248.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,IS,overall,-0.06941,0.18229,-0.3808,-10.174,714,0.3641,,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,IS,vol_high,-0.09898,0.1927,-0.5136,-6.578,164,0.3049,164.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,IS,vol_low,-0.05467,0.17492,-0.3125,-5.155,272,0.3713,274.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,IS,vol_mid,-0.06638,0.18168,-0.3654,-6.092,278,0.3921,289.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,OOS,overall,-0.03235,0.20046,-0.1614,-4.099,645,0.4388,,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,OOS,vol_high,-0.03508,0.22836,-0.1536,-2.394,243,0.4486,243.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,OOS,vol_low,-0.00273,0.1941,-0.0141,-0.18,164,0.5183,168.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,10,OOS,vol_mid,-0.04999,0.17061,-0.293,-4.52,238,0.3739,248.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,IS,overall,-0.09353,0.18421,-0.5077,-13.566,714,0.3431,,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,IS,vol_high,-0.09388,0.19758,-0.4751,-6.085,164,0.378,164.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,IS,vol_low,-0.09374,0.16857,-0.5561,-9.171,272,0.2904,274.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,IS,vol_mid,-0.09311,0.19125,-0.4869,-8.118,278,0.3741,289.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,OOS,overall,-0.03318,0.20236,-0.1639,-4.144,639,0.4413,,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,OOS,vol_high,-0.06671,0.22405,-0.2977,-4.622,241,0.361,243.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,OOS,vol_low,-0.00595,0.18221,-0.0327,-0.418,164,0.4817,168.0,
15,tsf_14,l1_pending,IND-STAT-003 LINEARREG 伴生一步外推,level,20,OOS,vol_mid,-0.01772,0.18781,-0.0944,-1.443,234,0.4957,248.0,
16,trix,none,,oscillator,5,IS,overall,-0.04186,0.1422,-0.2944,-7.931,726,0.3926,,
16,trix,none,,oscillator,5,IS,vol_high,-0.04418,0.14317,-0.3086,-3.952,164,0.3659,164.0,
16,trix,none,,oscillator,5,IS,vol_low,-0.03993,0.13484,-0.2961,-4.893,273,0.3773,274.0,
16,trix,none,,oscillator,5,IS,vol_mid,-0.04236,0.14875,-0.2848,-4.842,289,0.4221,289.0,
16,trix,none,,oscillator,5,OOS,overall,-0.05969,0.1726,-0.3458,-8.838,653,0.3614,,
16,trix,none,,oscillator,5,OOS,vol_high,-0.07428,0.22571,-0.3291,-5.13,243,0.4074,243.0,
16,trix,none,,oscillator,5,OOS,vol_low,-0.0434,0.11297,-0.3842,-4.92,164,0.3537,168.0,
16,trix,none,,oscillator,5,OOS,vol_mid,-0.05614,0.14164,-0.3964,-6.217,246,0.3211,248.0,
16,trix,none,,oscillator,10,IS,overall,-0.05201,0.13776,-0.3775,-10.173,726,0.3857,,
16,trix,none,,oscillator,10,IS,vol_high,-0.06084,0.13103,-0.4643,-5.946,164,0.372,164.0,
16,trix,none,,oscillator,10,IS,vol_low,-0.04819,0.13536,-0.356,-5.882,273,0.37,274.0,
16,trix,none,,oscillator,10,IS,vol_mid,-0.05061,0.14385,-0.3518,-5.981,289,0.4083,289.0,
16,trix,none,,oscillator,10,OOS,overall,-0.07478,0.16759,-0.4462,-11.358,648,0.3565,,
16,trix,none,,oscillator,10,OOS,vol_high,-0.10368,0.21769,-0.4763,-7.425,243,0.3868,243.0,
16,trix,none,,oscillator,10,OOS,vol_low,-0.05016,0.10205,-0.4915,-6.294,164,0.372,168.0,
16,trix,none,,oscillator,10,OOS,vol_mid,-0.06239,0.13944,-0.4474,-6.946,241,0.3154,248.0,
16,trix,none,,oscillator,20,IS,overall,-0.06838,0.14058,-0.4864,-13.105,726,0.3512,,
16,trix,none,,oscillator,20,IS,vol_high,-0.09368,0.11677,-0.8023,-10.274,164,0.1951,164.0,
16,trix,none,,oscillator,20,IS,vol_low,-0.06692,0.14285,-0.4685,-7.74,273,0.3553,274.0,
16,trix,none,,oscillator,20,IS,vol_mid,-0.05539,0.14908,-0.3716,-6.317,289,0.436,289.0,
16,trix,none,,oscillator,20,OOS,overall,-0.08605,0.16343,-0.5265,-13.31,639,0.2973,,
16,trix,none,,oscillator,20,OOS,vol_high,-0.13306,0.20975,-0.6343,-9.848,241,0.2739,243.0,
16,trix,none,,oscillator,20,OOS,vol_low,-0.05946,0.08674,-0.6856,-8.779,164,0.2256,168.0,
16,trix,none,,oscillator,20,OOS,vol_mid,-0.05628,0.13742,-0.4095,-6.264,234,0.3718,248.0,
17,zlema_21,none,,level,5,IS,overall,-0.0495,0.17858,-0.2772,-7.422,717,0.4282,,
17,zlema_21,none,,level,5,IS,vol_high,-0.07312,0.1871,-0.3908,-5.005,164,0.372,164.0,
17,zlema_21,none,,level,5,IS,vol_low,-0.0263,0.17295,-0.1521,-2.508,272,0.489,274.0,
17,zlema_21,none,,level,5,IS,vol_mid,-0.05817,0.1769,-0.3288,-5.512,281,0.4021,289.0,
17,zlema_21,none,,level,5,OOS,overall,-0.02705,0.19066,-0.1419,-3.603,645,0.4434,,
17,zlema_21,none,,level,5,OOS,vol_high,-0.02524,0.22093,-0.1142,-1.781,243,0.4486,243.0,
17,zlema_21,none,,level,5,OOS,vol_low,-0.0192,0.18167,-0.1057,-1.353,164,0.4634,168.0,
17,zlema_21,none,,level,5,OOS,vol_mid,-0.0343,0.16169,-0.2121,-3.272,238,0.4244,248.0,
17,zlema_21,none,,level,10,IS,overall,-0.06795,0.18269,-0.3719,-9.959,717,0.3654,,
17,zlema_21,none,,level,10,IS,vol_high,-0.09837,0.19252,-0.511,-6.543,164,0.2988,164.0,
17,zlema_21,none,,level,10,IS,vol_low,-0.0538,0.17566,-0.3063,-5.051,272,0.3713,274.0,
17,zlema_21,none,,level,10,IS,vol_mid,-0.06388,0.18207,-0.3509,-5.882,281,0.3986,289.0,
17,zlema_21,none,,level,10,OOS,overall,-0.03108,0.20085,-0.1547,-3.929,645,0.4434,,
17,zlema_21,none,,level,10,OOS,vol_high,-0.03358,0.22917,-0.1465,-2.284,243,0.4609,243.0,
17,zlema_21,none,,level,10,OOS,vol_low,-0.00148,0.19388,-0.0077,-0.098,164,0.5183,168.0,
17,zlema_21,none,,level,10,OOS,vol_mid,-0.04891,0.1709,-0.2862,-4.415,238,0.3739,248.0,
17,zlema_21,none,,level,20,IS,overall,-0.09304,0.18397,-0.5057,-13.542,717,0.3431,,
17,zlema_21,none,,level,20,IS,vol_high,-0.09295,0.19757,-0.4705,-6.025,164,0.3841,164.0,
17,zlema_21,none,,level,20,IS,vol_low,-0.09303,0.16843,-0.5523,-9.109,272,0.2904,274.0,
17,zlema_21,none,,level,20,IS,vol_mid,-0.0931,0.19069,-0.4882,-8.185,281,0.3701,289.0,
17,zlema_21,none,,level,20,OOS,overall,-0.03147,0.20265,-0.1553,-3.925,639,0.4444,,
17,zlema_21,none,,level,20,OOS,vol_high,-0.06443,0.22478,-0.2867,-4.45,241,0.3734,243.0,
17,zlema_21,none,,level,20,OOS,vol_low,-0.00464,0.18204,-0.0255,-0.327,164,0.4817,168.0,
17,zlema_21,none,,level,20,OOS,vol_mid,-0.01631,0.18805,-0.0868,-1.327,234,0.4915,248.0,
18,tsi,none,,oscillator,5,IS,overall,-0.0412,0.13128,-0.3138,-8.456,726,0.3843,,
18,tsi,none,,oscillator,5,IS,vol_high,-0.05322,0.12581,-0.423,-5.417,164,0.3476,164.0,
18,tsi,none,,oscillator,5,IS,vol_low,-0.04082,0.12936,-0.3156,-5.214,273,0.37,274.0,
18,tsi,none,,oscillator,5,IS,vol_mid,-0.03474,0.13601,-0.2554,-4.342,289,0.4187,289.0,
18,tsi,none,,oscillator,5,OOS,overall,-0.06055,0.15964,-0.3793,-9.693,653,0.3675,,
18,tsi,none,,oscillator,5,OOS,vol_high,-0.09363,0.2055,-0.4556,-7.102,243,0.3704,243.0,
18,tsi,none,,oscillator,5,OOS,vol_low,-0.03122,0.10686,-0.2922,-3.742,164,0.4085,168.0,
18,tsi,none,,oscillator,5,OOS,vol_mid,-0.04744,0.12913,-0.3674,-5.762,246,0.3374,248.0,
