rank_h10_is,column_name,prior_coverage,f_entry_id,factor_nature,horizon,window,bucket,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,n_days_bucket,top10_pool
2,yang_zhang_20,none,,vol_est,20,OOS,vol_low,-0.06689,0.1556,-0.4299,-5.506,164,0.2683,168.0,y
2,yang_zhang_20,none,,vol_est,20,OOS,vol_mid,-0.09516,0.21014,-0.4528,-6.927,234,0.3291,248.0,y
3,rogers_satchell_20,none,,vol_est,5,IS,overall,-0.07965,0.14969,-0.5321,-14.158,708,0.3093,,y
3,rogers_satchell_20,none,,vol_est,5,IS,vol_high,-0.08613,0.14352,-0.6001,-7.685,164,0.2805,164.0,y
3,rogers_satchell_20,none,,vol_est,5,IS,vol_low,-0.08192,0.15643,-0.5237,-8.637,272,0.3125,274.0,y
3,rogers_satchell_20,none,,vol_est,5,IS,vol_mid,-0.07347,0.14672,-0.5008,-8.259,272,0.3235,289.0,y
3,rogers_satchell_20,none,,vol_est,5,OOS,overall,-0.07024,0.22087,-0.318,-8.076,645,0.3519,,y
3,rogers_satchell_20,none,,vol_est,5,OOS,vol_high,-0.04494,0.27493,-0.1635,-2.548,243,0.4239,243.0,y
3,rogers_satchell_20,none,,vol_est,5,OOS,vol_low,-0.1034,0.15962,-0.6478,-8.296,164,0.2134,168.0,y
3,rogers_satchell_20,none,,vol_est,5,OOS,vol_mid,-0.07321,0.19086,-0.3836,-5.918,238,0.3739,248.0,y
3,rogers_satchell_20,none,,vol_est,10,IS,overall,-0.09384,0.1529,-0.6137,-16.331,708,0.2994,,y
3,rogers_satchell_20,none,,vol_est,10,IS,vol_high,-0.11409,0.13567,-0.841,-10.77,164,0.2134,164.0,y
3,rogers_satchell_20,none,,vol_est,10,IS,vol_low,-0.10166,0.1481,-0.6864,-11.32,272,0.2794,274.0,y
3,rogers_satchell_20,none,,vol_est,10,IS,vol_mid,-0.07382,0.16516,-0.447,-7.372,272,0.3713,289.0,y
3,rogers_satchell_20,none,,vol_est,10,OOS,overall,-0.07365,0.21963,-0.3353,-8.517,645,0.3535,,y
3,rogers_satchell_20,none,,vol_est,10,OOS,vol_high,-0.03718,0.27415,-0.1356,-2.114,243,0.4897,243.0,y
3,rogers_satchell_20,none,,vol_est,10,OOS,vol_low,-0.09099,0.15129,-0.6015,-7.702,164,0.2195,168.0,y
3,rogers_satchell_20,none,,vol_est,10,OOS,vol_mid,-0.09894,0.19071,-0.5188,-8.004,238,0.3067,248.0,y
3,rogers_satchell_20,none,,vol_est,20,IS,overall,-0.11339,0.1596,-0.7105,-18.904,708,0.2641,,y
3,rogers_satchell_20,none,,vol_est,20,IS,vol_high,-0.13432,0.12409,-1.0825,-13.862,164,0.1341,164.0,y
3,rogers_satchell_20,none,,vol_est,20,IS,vol_low,-0.13407,0.16185,-0.8284,-13.662,272,0.2463,274.0,y
3,rogers_satchell_20,none,,vol_est,20,IS,vol_mid,-0.08009,0.17084,-0.4688,-7.731,272,0.3603,289.0,y
3,rogers_satchell_20,none,,vol_est,20,OOS,overall,-0.08132,0.22023,-0.3692,-9.334,639,0.3396,,y
3,rogers_satchell_20,none,,vol_est,20,OOS,vol_high,-0.0793,0.26333,-0.3011,-4.675,241,0.4025,243.0,y
3,rogers_satchell_20,none,,vol_est,20,OOS,vol_low,-0.0645,0.15773,-0.4089,-5.236,164,0.2744,168.0,y
3,rogers_satchell_20,none,,vol_est,20,OOS,vol_mid,-0.09519,0.20877,-0.456,-6.975,234,0.3205,248.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,overall,-0.04843,0.10838,-0.4468,-12.039,726,0.3402,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,vol_high,-0.04947,0.09858,-0.5019,-6.427,164,0.3415,164.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,vol_low,-0.04955,0.10983,-0.4512,-7.455,273,0.3297,274.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,vol_mid,-0.04677,0.11258,-0.4154,-7.062,289,0.3495,289.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,overall,-0.03298,0.12385,-0.2663,-6.81,654,0.3716,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,vol_high,-0.02625,0.14522,-0.1808,-2.818,243,0.3951,243.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,vol_low,-0.03493,0.09314,-0.375,-4.802,164,0.3537,168.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,vol_mid,-0.0383,0.11895,-0.322,-5.061,247,0.3603,248.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,overall,-0.05971,0.10356,-0.5766,-15.535,726,0.2837,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,vol_high,-0.06717,0.09255,-0.7258,-9.295,164,0.25,164.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,vol_low,-0.05944,0.09988,-0.5952,-9.834,273,0.2454,274.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,vol_mid,-0.05572,0.11261,-0.4948,-8.412,289,0.3391,289.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,overall,-0.03519,0.12226,-0.2879,-7.333,649,0.3867,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,vol_high,-0.02402,0.14539,-0.1652,-2.576,243,0.4568,243.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,vol_low,-0.02944,0.08521,-0.3455,-4.424,164,0.3537,168.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,vol_mid,-0.05031,0.11694,-0.4302,-6.693,242,0.3388,248.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,overall,-0.07403,0.10152,-0.7292,-19.648,726,0.2438,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,vol_high,-0.08563,0.08727,-0.9812,-12.565,164,0.1402,164.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,vol_low,-0.07416,0.10372,-0.715,-11.814,273,0.2747,274.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,vol_mid,-0.06732,0.10655,-0.6318,-10.741,289,0.2734,289.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,overall,-0.04071,0.11923,-0.3415,-8.632,639,0.3599,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,vol_high,-0.04158,0.13565,-0.3065,-4.758,241,0.3817,243.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,vol_low,-0.02226,0.08919,-0.2496,-3.197,164,0.3476,168.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,vol_mid,-0.05276,0.1184,-0.4456,-6.816,234,0.3462,248.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,overall,-0.03904,0.09942,-0.3926,-10.579,726,0.3512,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,vol_high,-0.03678,0.08907,-0.4129,-5.287,164,0.3537,164.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,vol_low,-0.03752,0.09863,-0.3804,-6.285,273,0.3553,274.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,vol_mid,-0.04175,0.1058,-0.3946,-6.709,289,0.346,289.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,overall,-0.03359,0.10834,-0.31,-7.928,654,0.3639,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,vol_high,-0.04445,0.11576,-0.384,-5.986,243,0.3333,243.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,vol_low,-0.01878,0.10027,-0.1873,-2.398,164,0.4085,168.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,vol_mid,-0.03274,0.10512,-0.3114,-4.894,247,0.3644,248.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,IS,overall,-0.04954,0.09283,-0.5336,-14.378,726,0.2934,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,IS,vol_high,-0.05065,0.07532,-0.6725,-8.612,164,0.2195,164.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,IS,vol_low,-0.04625,0.09629,-0.4803,-7.936,273,0.3223,274.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,IS,vol_mid,-0.05201,0.09853,-0.5278,-8.973,289,0.308,289.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,OOS,overall,-0.03769,0.10797,-0.3491,-8.894,649,0.3374,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,OOS,vol_high,-0.04934,0.11955,-0.4127,-6.433,243,0.2757,243.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,OOS,vol_low,-0.01921,0.10366,-0.1854,-2.374,164,0.4512,168.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,OOS,vol_mid,-0.03853,0.09672,-0.3983,-6.197,242,0.3223,248.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,IS,overall,-0.06475,0.08323,-0.778,-20.964,726,0.2328,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,IS,vol_high,-0.06187,0.07519,-0.8228,-10.537,164,0.25,164.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,IS,vol_low,-0.06779,0.08765,-0.7734,-12.779,273,0.2454,274.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,IS,vol_mid,-0.06352,0.08346,-0.761,-12.938,289,0.2111,289.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,OOS,overall,-0.04749,0.10625,-0.4469,-11.298,639,0.3036,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,OOS,vol_high,-0.06434,0.12057,-0.5336,-8.284,241,0.2614,243.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,OOS,vol_low,-0.02446,0.10424,-0.2347,-3.006,164,0.3963,168.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,20,OOS,vol_mid,-0.04627,0.08758,-0.5283,-8.081,234,0.2821,248.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,IS,overall,-0.07732,0.1747,-0.4426,-11.933,727,0.3618,,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,IS,vol_high,-0.10662,0.18514,-0.5759,-7.375,164,0.311,164.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,IS,vol_low,-0.05624,0.17043,-0.33,-5.462,274,0.3942,274.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,IS,vol_mid,-0.08067,0.17053,-0.473,-8.042,289,0.3599,289.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,OOS,overall,-0.06062,0.20127,-0.3012,-7.703,654,0.3869,,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,OOS,vol_high,-0.05227,0.23495,-0.2225,-3.468,243,0.428,243.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,OOS,vol_low,-0.06764,0.17809,-0.3798,-4.864,164,0.3537,168.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,5,OOS,vol_mid,-0.06418,0.17918,-0.3582,-5.63,247,0.3684,248.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,IS,overall,-0.09518,0.18214,-0.5225,-14.089,727,0.3343,,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,IS,vol_high,-0.1337,0.18954,-0.7054,-9.033,164,0.2805,164.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,IS,vol_low,-0.08393,0.1746,-0.4807,-7.957,274,0.3321,274.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,IS,vol_mid,-0.08397,0.18251,-0.4601,-7.822,289,0.3668,289.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,OOS,overall,-0.06436,0.20919,-0.3077,-7.838,649,0.3867,,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,OOS,vol_high,-0.05396,0.24245,-0.2226,-3.47,243,0.4239,243.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,OOS,vol_low,-0.0509,0.18281,-0.2784,-3.565,164,0.4085,168.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,10,OOS,vol_mid,-0.08393,0.18819,-0.446,-6.938,242,0.3347,248.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,IS,overall,-0.1221,0.18687,-0.6534,-17.618,727,0.293,,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,IS,vol_high,-0.13456,0.18594,-0.7237,-9.268,164,0.25,164.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,IS,vol_low,-0.12716,0.17863,-0.7119,-11.784,274,0.2847,274.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,IS,vol_mid,-0.11024,0.19482,-0.5658,-9.619,289,0.3253,289.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,OOS,overall,-0.06541,0.2077,-0.3149,-7.961,639,0.4006,,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,OOS,vol_high,-0.08933,0.23305,-0.3833,-5.951,241,0.3444,243.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,OOS,vol_low,-0.04491,0.17109,-0.2625,-3.361,164,0.4085,168.0,y
6,trange,f_screened,FCT-TECH-064,vol_est,20,OOS,vol_mid,-0.05515,0.20177,-0.2733,-4.181,234,0.453,248.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,IS,overall,-0.06729,0.18115,-0.3715,-9.884,708,0.3799,,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,IS,vol_high,-0.08825,0.19013,-0.4641,-5.944,164,0.3354,164.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,IS,vol_low,-0.04789,0.17906,-0.2675,-4.411,272,0.4154,274.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,IS,vol_mid,-0.07404,0.17638,-0.4198,-6.923,272,0.3713,289.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,OOS,overall,-0.04323,0.21229,-0.2037,-5.172,645,0.431,,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,OOS,vol_high,-0.02657,0.25813,-0.1029,-1.605,243,0.4774,243.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,OOS,vol_low,-0.06197,0.16985,-0.3648,-4.672,164,0.3598,168.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,5,OOS,vol_mid,-0.04734,0.18448,-0.2566,-3.959,238,0.4328,248.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,IS,overall,-0.08662,0.1877,-0.4615,-12.28,708,0.3517,,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,IS,vol_high,-0.11382,0.19568,-0.5817,-7.449,164,0.2988,164.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,IS,vol_low,-0.07799,0.18408,-0.4237,-6.987,272,0.3603,274.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,IS,vol_mid,-0.07886,0.1855,-0.4251,-7.011,272,0.375,289.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,OOS,overall,-0.04552,0.21788,-0.2089,-5.306,645,0.4233,,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,OOS,vol_high,-0.0237,0.25986,-0.0912,-1.421,243,0.4815,243.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,OOS,vol_low,-0.04657,0.1723,-0.2703,-3.461,164,0.4207,168.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,10,OOS,vol_mid,-0.06709,0.19664,-0.3412,-5.263,238,0.3655,248.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,IS,overall,-0.1085,0.19069,-0.569,-15.139,708,0.322,,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,IS,vol_high,-0.11037,0.19709,-0.56,-7.171,164,0.3232,164.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,IS,vol_low,-0.11811,0.18317,-0.6448,-10.634,272,0.2831,274.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,IS,vol_mid,-0.09776,0.19427,-0.5032,-8.299,272,0.3603,289.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,OOS,overall,-0.04711,0.21831,-0.2158,-5.455,639,0.4288,,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,OOS,vol_high,-0.05619,0.24562,-0.2288,-3.552,241,0.39,243.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,OOS,vol_low,-0.04488,0.16943,-0.2649,-3.392,164,0.4024,168.0,y
7,var_20,l1_pending,IND-STAT-004 ROLLVAR,vol_est,20,OOS,vol_mid,-0.03933,0.21938,-0.1793,-2.742,234,0.4872,248.0,y
8,stddev_20,none,,vol_est,5,IS,overall,-0.06729,0.18115,-0.3715,-9.884,708,0.3799,,y
8,stddev_20,none,,vol_est,5,IS,vol_high,-0.08825,0.19013,-0.4641,-5.944,164,0.3354,164.0,y
8,stddev_20,none,,vol_est,5,IS,vol_low,-0.04789,0.17906,-0.2675,-4.411,272,0.4154,274.0,y
8,stddev_20,none,,vol_est,5,IS,vol_mid,-0.07404,0.17638,-0.4198,-6.923,272,0.3713,289.0,y
8,stddev_20,none,,vol_est,5,OOS,overall,-0.04323,0.21229,-0.2037,-5.172,645,0.431,,y
8,stddev_20,none,,vol_est,5,OOS,vol_high,-0.02657,0.25813,-0.1029,-1.605,243,0.4774,243.0,y
8,stddev_20,none,,vol_est,5,OOS,vol_low,-0.06197,0.16985,-0.3648,-4.672,164,0.3598,168.0,y
8,stddev_20,none,,vol_est,5,OOS,vol_mid,-0.04734,0.18448,-0.2566,-3.959,238,0.4328,248.0,y
8,stddev_20,none,,vol_est,10,IS,overall,-0.08662,0.1877,-0.4615,-12.28,708,0.3517,,y
8,stddev_20,none,,vol_est,10,IS,vol_high,-0.11382,0.19568,-0.5817,-7.449,164,0.2988,164.0,y
8,stddev_20,none,,vol_est,10,IS,vol_low,-0.07799,0.18408,-0.4237,-6.987,272,0.3603,274.0,y
8,stddev_20,none,,vol_est,10,IS,vol_mid,-0.07886,0.1855,-0.4251,-7.011,272,0.375,289.0,y
8,stddev_20,none,,vol_est,10,OOS,overall,-0.04552,0.21788,-0.2089,-5.306,645,0.4233,,y
8,stddev_20,none,,vol_est,10,OOS,vol_high,-0.0237,0.25986,-0.0912,-1.421,243,0.4815,243.0,y
8,stddev_20,none,,vol_est,10,OOS,vol_low,-0.04657,0.1723,-0.2703,-3.461,164,0.4207,168.0,y
8,stddev_20,none,,vol_est,10,OOS,vol_mid,-0.06709,0.19664,-0.3412,-5.263,238,0.3655,248.0,y
8,stddev_20,none,,vol_est,20,IS,overall,-0.1085,0.19069,-0.569,-15.139,708,0.322,,y
8,stddev_20,none,,vol_est,20,IS,vol_high,-0.11037,0.19709,-0.56,-7.171,164,0.3232,164.0,y
8,stddev_20,none,,vol_est,20,IS,vol_low,-0.11811,0.18317,-0.6448,-10.634,272,0.2831,274.0,y
8,stddev_20,none,,vol_est,20,IS,vol_mid,-0.09776,0.19427,-0.5032,-8.299,272,0.3603,289.0,y
8,stddev_20,none,,vol_est,20,OOS,overall,-0.04711,0.21831,-0.2158,-5.455,639,0.4288,,y
8,stddev_20,none,,vol_est,20,OOS,vol_high,-0.05619,0.24562,-0.2288,-3.552,241,0.39,243.0,y
8,stddev_20,none,,vol_est,20,OOS,vol_low,-0.04488,0.16943,-0.2649,-3.392,164,0.4024,168.0,y
8,stddev_20,none,,vol_est,20,OOS,vol_mid,-0.03933,0.21938,-0.1793,-2.742,234,0.4872,248.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,IS,overall,-0.04851,0.12712,-0.3816,-10.282,726,0.365,,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,IS,vol_high,-0.06262,0.1268,-0.4938,-6.324,164,0.3171,164.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,IS,vol_low,-0.05164,0.12465,-0.4143,-6.846,273,0.3516,274.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,IS,vol_mid,-0.03755,0.12909,-0.2909,-4.945,289,0.4048,289.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,OOS,overall,-0.06862,0.15953,-0.4301,-10.992,653,0.3277,,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,OOS,vol_high,-0.10286,0.20583,-0.4997,-7.79,243,0.3128,243.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,OOS,vol_low,-0.03881,0.11589,-0.3349,-4.289,164,0.3902,168.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,5,OOS,vol_mid,-0.05467,0.12243,-0.4465,-7.003,246,0.3008,248.0,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,IS,overall,-0.05416,0.12862,-0.4211,-11.345,726,0.3361,,y
9,rsi_24,f_screened,FCT-TECH-066,oscillator,10,IS,vol_high,-0.07234,0.11007,-0.6572,-8.416,164,0.2622,164.0,y
