col,prior_coverage,norm_class,window,bucket,horizon,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,median_xsec_n
obv,l1_pending,VOLCUM,OOS,overall,10,-0.04325,0.11709,-0.3694,-9.41,649,0.3513,4557
obv,l1_pending,VOLCUM,OOS,overall,20,-0.04893,0.11726,-0.4173,-10.548,639,0.349,4557
obv,l1_pending,VOLCUM,OOS,vol_high,5,-0.05456,0.16265,-0.3354,-5.175,238,0.3739,4557
obv,l1_pending,VOLCUM,OOS,vol_high,10,-0.05994,0.15233,-0.3935,-6.07,238,0.3782,4557
obv,l1_pending,VOLCUM,OOS,vol_high,20,-0.08054,0.15601,-0.5162,-7.93,236,0.2924,4557
obv,l1_pending,VOLCUM,OOS,vol_low,5,-0.03616,0.08004,-0.4518,-5.786,164,0.3049,4557
obv,l1_pending,VOLCUM,OOS,vol_low,10,-0.04067,0.07304,-0.5568,-7.131,164,0.2927,4557
obv,l1_pending,VOLCUM,OOS,vol_low,20,-0.03065,0.0659,-0.4652,-5.957,164,0.3354,4557
obv,l1_pending,VOLCUM,OOS,vol_mid,5,-0.02578,0.10015,-0.2574,-4.086,252,0.4127,4557
obv,l1_pending,VOLCUM,OOS,vol_mid,10,-0.02888,0.09869,-0.2926,-4.598,247,0.3644,4557
obv,l1_pending,VOLCUM,OOS,vol_mid,20,-0.03027,0.09101,-0.3326,-5.141,239,0.4142,4557
