trade_date,sensor_score,fwd_ret_1d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,fwd_ret_1d_lag1,fwd_ret_5d_lag1,fwd_ret_10d_lag1,fwd_ret_20d_lag1,window
1991-05-30,-2,0.008874,0.048585,0.101212,0.196538,0.009928,0.049116,0.084473,0.197945,exam
1991-05-31,-2,0.009928,0.049116,0.084473,0.197945,0.009916,0.049151,0.084505,0.180047,exam
1991-06-03,-2,0.009916,0.049151,0.084505,0.180047,0.008965,0.049266,0.084614,0.160861,exam
1991-06-04,0,0.008965,0.049266,0.084614,0.160861,0.009986,0.050267,0.085639,0.144707,exam
1991-06-05,0,0.009986,0.050267,0.085639,0.144707,0.009384,0.050189,0.08563,0.144784,exam
1991-06-06,0,0.009384,0.050189,0.08563,0.144784,0.009961,0.033701,0.086246,0.12858,exam
1991-06-07,0,0.009961,0.033701,0.086246,0.12858,0.010027,0.033698,0.086299,0.11186,exam
1991-06-10,-1,0.010027,0.033698,0.086299,0.11186,0.009928,0.033689,0.086256,0.095614,exam
1991-06-11,-1,0.009928,0.033689,0.086256,0.095614,0.009911,0.03368,0.086375,0.079607,exam
1991-06-12,-1,0.009911,0.03368,0.086375,0.079607,-0.006462,0.033748,0.086565,0.064146,exam
1991-06-13,-1,-0.006462,0.033748,0.086565,0.064146,0.009957,0.050831,0.104633,0.06641,exam
1991-06-14,-1,0.009957,0.050831,0.104633,0.06641,0.010018,0.050887,0.088097,0.058599,exam
1991-06-17,0,0.010018,0.050887,0.088097,0.058599,0.009919,0.050854,0.070298,0.058569,exam
1991-06-18,0,0.009919,0.050854,0.070298,0.058569,0.009977,0.050978,0.054408,0.058617,exam
1991-06-19,0,0.009977,0.050978,0.054408,0.058617,0.009956,0.051092,0.054488,0.058656,exam
1991-06-20,0,0.009956,0.051092,0.054488,0.058656,0.010011,0.0512,0.038973,0.044628,exam
1991-06-21,0,0.010011,0.0512,0.038973,0.044628,0.009987,0.035409,0.02353,0.044639,exam
1991-06-24,0,0.009987,0.035409,0.02353,0.044639,0.010038,0.018503,0.008615,0.044198,exam
1991-06-25,0,0.010038,0.018503,0.008615,0.044198,0.010087,0.003263,-0.00623,0.043388,exam
1991-06-26,0,0.010087,0.003263,-0.00623,0.043388,0.010059,0.003231,-0.020633,0.029371,exam
1991-06-27,0,0.010059,0.003231,-0.020633,0.029371,-0.005161,-0.011631,-0.034603,0.022536,exam
1991-06-28,0,-0.005161,-0.011631,-0.034603,0.022536,-0.006503,-0.011472,-0.02711,0.034125,exam
1991-07-01,0,-0.006503,-0.011472,-0.02711,0.034125,-0.005075,-0.009709,-0.010959,0.047293,exam
1991-07-02,0,-0.005075,-0.009709,-0.010959,0.047293,0.010054,-0.009463,0.003992,0.063059,exam
1991-07-03,0,0.010054,-0.009463,0.003992,0.063059,-0.004904,-0.023787,0.003952,0.063017,exam
1991-07-04,0,-0.004904,-0.023787,0.003952,0.063017,-0.005001,-0.023242,0.005443,0.078847,exam
1991-07-05,0,-0.005001,-0.023242,0.005443,0.078847,-0.004731,-0.015819,0.020624,0.095136,exam
1991-07-08,0,-0.004731,-0.015819,0.020624,0.095136,-0.004828,-0.001263,0.035279,0.11126,exam
1991-07-09,0,-0.004828,-0.001263,0.035279,0.11126,-0.004553,0.013583,0.049929,0.127845,exam
1991-07-10,0,-0.004553,0.013583,0.049929,0.127845,-0.004348,0.028415,0.051057,0.144175,exam
1991-07-11,1,-0.004348,0.028415,0.051057,0.144175,0.00256,0.029367,0.059187,0.160392,exam
1991-07-12,0,0.00256,0.029367,0.059187,0.160392,0.009989,0.037029,0.062941,0.168244,exam
1991-07-15,0,0.009989,0.037029,0.062941,0.168244,0.009965,0.036588,0.058898,0.168067,exam
1991-07-16,0,0.009965,0.036588,0.058898,0.168067,0.010014,0.035859,0.058832,0.168029,exam
1991-07-17,0,0.010014,0.035859,0.058832,0.168029,-0.003426,0.022016,0.058832,0.167967,exam
1991-07-18,0,-0.003426,0.022016,0.058832,0.167967,0.010022,0.028969,0.073007,0.182151,exam
1991-07-19,0,0.010022,0.028969,0.073007,0.182151,0.00956,0.024987,0.073006,0.182082,exam
1991-07-22,0,0.00956,0.024987,0.073006,0.182082,0.009255,0.021522,0.073391,0.182581,exam
1991-07-23,0,0.009255,0.021522,0.073391,0.182581,-0.003483,0.022178,0.074211,0.183466,exam
1991-07-24,0,-0.003483,0.022178,0.074211,0.183466,0.003353,0.036023,0.088594,0.199515,exam
1991-07-25,0,0.003353,0.036023,0.088594,0.199515,0.006114,0.042798,0.09555,0.207237,exam
1991-07-26,0,0.006114,0.042798,0.09555,0.207237,0.006148,0.046849,0.099067,0.211914,exam
1991-07-29,0,0.006148,0.046849,0.099067,0.211914,0.009902,0.050776,0.103097,0.216307,exam
1991-07-30,0,0.009902,0.050776,0.103097,0.216307,0.010014,0.050904,0.103129,0.216412,exam
1991-07-31,0,0.010014,0.050904,0.103129,0.216412,0.009915,0.050744,0.103071,0.216332,exam
1991-08-01,0,0.009915,0.050744,0.103071,0.216332,0.010022,0.050586,0.101718,0.216458,exam
1991-08-02,0,0.010022,0.050586,0.101718,0.216458,0.009922,0.049882,0.101654,0.21647,exam
1991-08-05,0,0.009922,0.049882,0.101654,0.21647,0.010025,0.049793,0.101724,0.216214,exam
1991-08-06,0,0.010025,0.049793,0.101724,0.216214,0.00986,0.049696,0.101707,0.215524,exam
1991-08-07,0,0.00986,0.049696,0.101707,0.215524,0.009763,0.0498,0.101894,0.215582,exam
1991-08-08,0,0.009763,0.0498,0.101894,0.215582,0.009345,0.04867,0.101947,0.215834,exam
1991-08-09,0,0.009345,0.04867,0.101947,0.215834,0.009837,0.049312,0.102675,0.216665,exam
1991-08-12,0,0.009837,0.049312,0.102675,0.216665,0.009932,0.049468,0.102629,0.19902,exam
1991-08-13,0,0.009932,0.049468,0.102629,0.19902,0.00996,0.049549,0.102692,0.180231,exam
1991-08-14,0,0.00996,0.049549,0.102692,0.180231,0.008676,0.049622,0.102678,0.162349,exam
1991-08-15,0,0.008676,0.049622,0.102678,0.162349,0.009963,0.050804,0.104146,0.162067,exam
1991-08-16,0,0.009963,0.050804,0.104146,0.162067,0.009987,0.050855,0.104222,0.162061,exam
1991-08-19,0,0.009987,0.050855,0.104222,0.162061,0.01001,0.050655,0.103919,0.144443,exam
1991-08-20,0,0.01001,0.050655,0.103919,0.144443,0.010031,0.050634,0.10331,0.126975,exam
1991-08-21,0,0.010031,0.050634,0.10331,0.126975,0.009812,0.050547,0.103176,0.111323,exam
1991-08-22,0,0.009812,0.050547,0.103176,0.111323,0.010011,0.050763,0.103351,0.094871,exam
1991-08-23,0,0.010011,0.050763,0.103351,0.094871,0.009795,0.050784,0.103376,0.078654,exam
1991-08-26,0,0.009795,0.050784,0.103376,0.078654,0.009989,0.050696,0.087418,0.062879,exam
1991-08-27,0,0.009989,0.050696,0.087418,0.062879,0.009947,0.050137,0.070318,0.047279,exam
1991-08-28,0,0.009947,0.050137,0.070318,0.047279,0.010019,0.050096,0.054115,0.032096,exam
1991-08-29,0,0.010019,0.050096,0.054115,0.032096,0.010032,0.050048,0.052458,0.018999,exam
1991-08-30,0,0.010032,0.050048,0.052458,0.018999,0.00971,0.05005,0.05238,0.003884,exam
1991-09-02,0,0.00971,0.05005,0.05238,0.003884,0.009452,0.034951,0.036709,0.002803,exam
1991-09-03,0,0.009452,0.034951,0.036709,0.002803,0.009908,0.019217,0.021449,0.003266,exam
1991-09-04,0,0.009908,0.019217,0.021449,0.003266,0.009973,0.003827,0.007385,0.002641,exam
1991-09-05,0,0.009973,0.003827,0.007385,0.002641,0.010034,0.002295,-0.007686,0.000694,exam
1991-09-06,0,0.010034,0.002295,-0.007686,0.000694,-0.004809,0.002219,-0.022405,-0.000634,exam
1991-09-09,0,-0.004809,0.002219,-0.022405,-0.000634,-0.005894,0.001699,-0.022567,0.01423,exam
1991-09-10,0,-0.005894,0.001699,-0.022567,0.01423,-0.005341,0.00219,-0.021525,0.030072,exam
1991-09-11,0,-0.005341,0.00219,-0.021525,0.030072,0.008431,0.003544,-0.020889,0.045376,exam
1991-09-12,0,0.008431,0.003544,-0.020889,0.045376,0.009958,-0.009958,-0.031791,0.046967,exam
1991-09-13,0,0.009958,-0.009958,-0.031791,0.046967,-0.005325,-0.02457,-0.046082,0.046979,exam
1991-09-16,0,-0.005325,-0.02457,-0.046082,0.046979,-0.005407,-0.024225,-0.032706,0.062868,exam
1991-09-17,0,-0.005407,-0.024225,-0.032706,0.062868,-0.003997,-0.023664,-0.017801,0.079305,exam
1991-09-18,0,-0.003997,-0.023664,-0.017801,0.079305,-0.005137,-0.024347,-0.004709,0.094446,exam
1991-09-19,0,-0.005137,-0.024347,-0.004709,0.094446,-0.004948,-0.022052,0.008444,0.110854,exam
1991-09-20,0,-0.004948,-0.022052,0.008444,0.110854,-0.004973,-0.022054,0.02227,0.125676,exam
1991-09-23,0,-0.004973,-0.022054,0.02227,0.125676,-0.004835,-0.008692,0.037647,0.141189,exam
1991-09-24,-1,-0.004835,-0.008692,0.037647,0.141189,-0.004695,0.006005,0.052732,0.156504,exam
1991-09-25,0,-0.004695,0.006005,0.052732,0.156504,-0.002797,0.020128,0.067679,0.173586,exam
1991-09-26,0,-0.002797,0.020128,0.067679,0.173586,-0.00495,0.031185,0.081344,0.186778,exam
1991-09-27,0,-0.00495,0.031185,0.081344,0.186778,0.008623,0.045324,0.097557,0.196275,exam
1991-09-30,0,0.008623,0.045324,0.097557,0.196275,0.009919,0.046745,0.098805,0.19794,exam
1991-10-03,0,0.009919,0.046745,0.098805,0.19794,0.009279,0.046449,0.098866,0.197678,exam
1991-10-04,-1,0.009279,0.046449,0.098866,0.197678,0.008011,0.046613,0.099624,0.197688,exam
1991-10-07,0,0.008011,0.046613,0.099624,0.197688,0.008694,0.048643,0.101552,0.198197,exam
1991-10-08,0,0.008694,0.048643,0.101552,0.198197,0.009994,0.049968,0.101153,0.199662,exam
1991-10-09,0,0.009994,0.049968,0.101153,0.199662,0.009633,0.049736,0.099785,0.198524,exam
1991-10-10,0,0.009633,0.049736,0.099785,0.198524,0.009437,0.050091,0.098574,0.198963,exam
1991-10-11,0,0.009437,0.050091,0.098574,0.198963,0.009966,0.05065,0.099194,0.199723,exam
1991-10-14,0,0.009966,0.05065,0.099194,0.199723,0.009969,0.050455,0.097503,0.199329,exam
1991-10-15,0,0.009969,0.050455,0.097503,0.199329,0.00977,0.048749,0.089943,0.191872,exam
1991-10-16,0,0.00977,0.048749,0.089943,0.191872,0.009975,0.047678,0.09022,0.18423,exam
1991-10-17,0,0.009975,0.047678,0.09022,0.18423,0.009975,0.046171,0.089921,0.176485,exam
1991-10-18,0,0.009975,0.046171,0.089921,0.176485,0.009779,0.046203,0.08918,0.176453,exam
1991-10-21,0,0.009779,0.046203,0.08918,0.176453,0.008328,0.044788,0.087735,0.172905,exam
1991-10-22,0,0.008328,0.044788,0.087735,0.172905,0.008739,0.03928,0.08946,0.17407,exam
1991-10-23,0,0.008739,0.03928,0.08946,0.17407,0.008521,0.040606,0.08978,0.172514,exam
1991-10-24,0,0.008521,0.040606,0.08978,0.172514,0.010007,0.04182,0.091381,0.173086,exam
1991-10-25,0,0.010007,0.04182,0.091381,0.173086,0.008412,0.041079,0.091457,0.172306,exam
1991-10-28,0,0.008412,0.041079,0.091457,0.172306,0.003012,0.041107,0.09278,0.172351,exam
1991-10-29,0,0.003012,0.041107,0.09278,0.172351,0.010026,0.048284,0.093518,0.180289,exam
1991-10-30,0,0.010026,0.048284,0.093518,0.180289,0.009698,0.047255,0.086231,0.177264,exam
1991-10-31,0,0.009698,0.047255,0.086231,0.177264,0.009288,0.047572,0.079422,0.176151,exam
1991-11-01,0,0.009288,0.047572,0.079422,0.176151,0.008439,0.048391,0.080127,0.176954,exam
1991-11-04,0,0.008439,0.048391,0.080127,0.176954,0.009927,0.049633,0.0783,0.178767,exam
1991-11-05,0,0.009927,0.049633,0.0783,0.178767,0.009036,0.043151,0.077662,0.171412,exam
1991-11-06,0,0.009036,0.043151,0.077662,0.171412,0.010003,0.037217,0.075918,0.16481,exam
1991-11-07,0,0.010003,0.037217,0.075918,0.16481,0.010077,0.030404,0.074864,0.164908,exam
1991-11-08,0,0.010077,0.030404,0.074864,0.164908,0.009634,0.030272,0.074074,0.157225,exam
1991-11-11,0,0.009634,0.030272,0.074074,0.157225,0.00369,0.027311,0.072816,0.157379,exam
1991-11-12,0,0.00369,0.027311,0.072816,0.157379,0.003296,0.033084,0.079351,0.156505,exam
1991-11-13,0,0.003296,0.033084,0.079351,0.156505,0.003369,0.037313,0.083807,0.155654,exam
1991-11-14,0,0.003369,0.037313,0.083807,0.155654,0.009948,0.043148,0.089612,0.162644,exam
1991-11-15,0,0.009948,0.043148,0.089612,0.162644,0.006733,0.042515,0.089643,0.154725,exam
1991-11-18,0,0.006733,0.042515,0.089643,0.154725,0.00933,0.044295,0.093172,0.150429,exam
1991-11-19,0,0.00933,0.044295,0.093172,0.150429,0.007403,0.044785,0.086994,0.14319,exam
1991-11-20,0,0.007403,0.044785,0.086994,0.14319,0.009013,0.044822,0.082619,0.137469,exam
1991-11-21,0,0.009013,0.044822,0.082619,0.137469,0.009335,0.044542,0.083773,0.138012,exam
1991-11-22,0,0.009335,0.044542,0.083773,0.138012,0.008451,0.045206,0.077417,0.138728,exam
1991-11-25,0,0.008451,0.045206,0.077417,0.138728,0.009804,0.046804,0.078824,0.131439,exam
1991-11-26,0,0.009804,0.046804,0.078824,0.131439,0.007438,0.040399,0.071482,0.124095,exam
1991-11-27,0,0.007438,0.040399,0.071482,0.124095,0.008743,0.036176,0.066291,0.119215,exam
1991-11-28,0,0.008743,0.036176,0.066291,0.119215,0.009977,0.037558,0.067026,0.120378,exam
1991-11-29,0,0.009977,0.037558,0.067026,0.120378,0.009993,0.030817,0.059728,0.11259,exam
1991-12-02,0,0.009993,0.030817,0.059728,0.11259,0.003625,0.030588,0.052377,0.10551,exam
1991-12-03,0,0.003625,0.030588,0.052377,0.10551,0.003349,0.029875,0.051699,0.105279,exam
1991-12-04,0,0.003349,0.029875,0.051699,0.105279,0.010088,0.029063,0.050664,0.111978,exam
1991-12-05,0,0.010088,0.029063,0.050664,0.111978,0.003416,0.028402,0.050046,0.105179,exam
1991-12-06,0,0.003416,0.028402,0.050046,0.105179,0.009768,0.028046,0.056906,0.10545,exam
1991-12-09,0,0.009768,0.028046,0.056906,0.10545,0.002931,0.021143,0.048771,0.098018,exam
1991-12-10,0,0.002931,0.021143,0.048771,0.098018,0.002557,0.02119,0.049103,0.098316,exam
1991-12-11,0,0.002557,0.02119,0.049103,0.098316,0.009438,0.02099,0.049634,0.099923,exam
1991-12-12,0,0.009438,0.02099,0.049634,0.099923,0.003069,0.021047,0.05,0.094079,exam
1991-12-13,0,0.003069,0.021047,0.05,0.094079,0.002987,0.028073,0.049883,0.100378,exam
1991-12-16,0,0.002987,0.028073,0.049883,0.100378,0.002978,0.027056,0.050488,0.100294,exam
1991-12-17,0,0.002978,0.027056,0.050488,0.100294,0.002361,0.027334,0.050946,0.097814,exam
1991-12-18,0,0.002361,0.027334,0.050946,0.097814,0.009494,0.028054,0.058357,0.09712,exam
1991-12-19,0,0.009494,0.028054,0.058357,0.09712,0.009971,0.028356,0.052505,0.086837,exam
1991-12-20,0,0.009971,0.028356,0.052505,0.086837,0.001995,0.021215,0.04593,0.077788,exam
1991-12-23,0,0.001995,0.021215,0.04593,0.077788,0.003249,0.022815,0.046957,0.075921,exam
1991-12-24,0,0.003249,0.022815,0.046957,0.075921,0.003065,0.022985,0.046909,0.074456,exam
1991-12-25,0,0.003065,0.022985,0.046909,0.074456,0.009791,0.029476,0.047912,0.072979,exam
1991-12-26,0,0.009791,0.029476,0.047912,0.072979,0.002957,0.023483,0.04198,0.071377,exam
1991-12-27,0,0.002957,0.023483,0.04198,0.071377,0.003565,0.024202,0.048096,0.069007,exam
1991-12-30,0,0.003565,0.024202,0.048096,0.069007,0.003416,0.023604,0.047412,0.06719,exam
1991-12-31,0,0.003416,0.023604,0.047412,0.06719,0.00943,0.023387,0.044596,0.064613,exam
1992-01-02,0,0.00943,0.023387,0.044596,0.064613,0.003912,0.017908,0.036625,0.056387,exam
1992-01-03,0,0.003912,0.017908,0.036625,0.056387,0.003662,0.018073,0.032619,0.055429,exam
1992-01-06,0,0.003662,0.018073,0.032619,0.055429,0.002979,0.023329,0.030458,0.053386,exam
1992-01-07,0,0.002979,0.023329,0.030458,0.053386,0.003204,0.02326,0.027665,0.05306,exam
1992-01-08,0,0.003204,0.02326,0.027665,0.05306,0.004025,0.020724,0.026312,0.052591,exam
1992-01-09,0,0.004025,0.020724,0.026312,0.052591,0.004075,0.018388,0.023921,0.048405,exam
1992-01-10,0,0.004075,0.018388,0.023921,0.048405,0.008843,0.014288,0.028212,0.046129,exam
1992-01-13,0,0.008843,0.014288,0.028212,0.046129,0.002911,0.006967,0.019952,0.045594,exam
1992-01-14,0,0.002911,0.006967,0.019952,0.045594,0.000717,0.004305,0.018883,0.042853,exam
1992-01-15,0,0.000717,0.004305,0.018883,0.042853,0.001727,0.005475,0.019162,0.098615,exam
1992-01-16,0,0.001727,0.005475,0.019162,0.098615,3.3e-05,0.005433,0.019064,0.113963,exam
1992-01-17,0,3.3e-05,0.005433,0.019064,0.113963,0.001562,0.013728,0.022089,0.13208,exam
1992-01-20,0,0.001562,0.013728,0.022089,0.13208,0.00026,0.012895,0.02225,0.167993,exam
1992-01-21,0,0.00026,0.012895,0.02225,0.167993,0.001883,0.014515,0.024712,0.170645,exam
1992-01-22,0,0.001883,0.014515,0.024712,0.170645,0.001685,0.013613,0.025605,0.168023,exam
1992-01-23,0,0.001685,0.013613,0.025605,0.168023,0.008283,0.013558,0.023912,0.165184,exam
1992-01-24,0,0.008283,0.013558,0.023912,0.165184,0.000738,0.008247,0.017426,0.163153,exam
1992-01-27,0,0.000738,0.008247,0.017426,0.163153,0.00186,0.009236,0.025141,0.169382,exam
1992-01-28,0,0.00186,0.009236,0.025141,0.169382,0.000992,0.010051,0.023526,0.169547,exam
1992-01-29,0,0.000992,0.010051,0.023526,0.169547,0.001631,0.011831,0.077959,0.173536,exam
1992-01-30,0,0.001631,0.011831,0.077959,0.173536,0.003001,0.010216,0.093123,0.17584,exam
1992-01-31,0,0.003001,0.010216,0.093123,0.17584,0.001719,0.009103,0.107613,0.176905,exam
1992-02-03,0,0.001719,0.009103,0.107613,0.176905,0.002669,0.01576,0.142571,0.18124,exam
1992-02-07,0,0.002669,0.01576,0.142571,0.18124,0.002757,0.013341,0.142413,0.183705,exam
1992-02-10,0,0.002757,0.013341,0.142413,0.183705,3.2e-05,0.065354,0.138862,0.185823,exam
1992-02-11,0,3.2e-05,0.065354,0.138862,0.185823,0.001896,0.082069,0.137972,0.188661,exam
1992-02-12,0,0.001896,0.082069,0.137972,0.188661,0.008327,0.097622,0.143231,0.188872,exam
1992-02-13,0,0.008327,0.097622,0.143231,0.188872,0.000282,0.124844,0.140703,0.177365,exam
1992-02-14,0,0.000282,0.124844,0.140703,0.177365,0.054226,0.127373,0.142665,0.179129,exam
1992-02-17,0,0.054226,0.127373,0.142665,0.179129,0.015722,0.068998,0.088665,0.119783,exam
1992-02-18,0,0.015722,0.068998,0.088665,0.119783,0.016296,0.051663,0.07567,0.102947,exam
1992-02-19,0,0.016296,0.051663,0.07567,0.102947,0.033334,0.041553,0.062559,0.084255,exam
1992-02-20,0,0.033334,0.041553,0.062559,0.084255,0.002531,0.014099,0.033844,0.051169,exam
1992-02-21,0,0.002531,0.014099,0.033844,0.051169,-0.000361,0.013564,0.036144,0.051012,exam
