000058.SH	全指价值	SSE	中证指数有限公司	风格指数	2003-12-31	1000.0	2010-01-04	000058	1.0
000059.SH	全R成长	SSE	中证指数有限公司	风格指数	2003-12-31	1000.0	2010-01-04	000059	1.0
000060.SH	全R价值	SSE	中证指数有限公司	风格指数	2003-12-31	1000.0	2010-01-04	000060	1.0
000062.SH	上证沪企	SSE	中证指数有限公司	主题指数	2005-12-31	1000.0	2010-01-04	000062	1.0
000063.SH	上证周期	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2010-02-03	000063	1.0
000064.SH	非周期	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2010-02-03	000064	1.0
000065.SH	上证龙头	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2010-02-09	000065	1.0
000066.SH	上证商品	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2010-04-30	000066	1.0
000067.SH	上证新兴	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2010-04-30	000067	1.0
000068.SH	上证资源	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2010-05-28	000068	1.0
000069.SH	消费80	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2010-05-28	000069	1.0
000070.SH	能源等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000070	1.0
000071.SH	材料等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000071	1.0
000072.SH	工业等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000072	1.0
000073.SH	可选等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000073	1.0
000074.SH	消费等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000074	1.0
000075.SH	医药等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000075	1.0
000076.SH	金融等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000076	1.0
000077.SH	信息等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000077	1.0
000078.SH	通信等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000078	1.0
000079.SH	公用等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2010-08-18	000079	1.0
000090.SH	上证流通	SSE	中证指数有限公司	规模指数	2009-12-31	1000.0	2010-12-02	000090	1.0
000091.SH	沪财中小	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2011-04-06	000091	1.0
000092.SH	资源50	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2011-05-10	000092	1.0
000093.SH	180分层	SSE	中证指数有限公司	策略指数	2002-06-28	3299.06	2011-05-24	000093	1.0
000094.SH	上证上游	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2011-05-10	000094	1.0
000095.SH	上证中游	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2011-05-10	000095	1.0
000096.SH	上证下游	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2011-05-10	000096	1.0
000097.SH	高端装备	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2011-05-24	000097	1.0
000098.SH	上证F200	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2011-07-01	000098	1.0
000099.SH	上证F300	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2011-07-01	000099	1.0
000100.SH	上证F500	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2011-07-01	000100	1.0
000102.SH	沪投资品	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2011-06-13	000102	1.0
000103.SH	沪消费品	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2011-06-13	000103	1.0
000104.SH	380能源	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000104	1.0
000105.SH	380材料	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000105	1.0
000106.SH	380工业	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000106	1.0
000107.SH	380可选	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000107	1.0
000108.SH	380消费	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000108	1.0
000109.SH	380医药	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000109	1.0
000110.SH	380金融	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000110	1.0
