880539.TDX	2025-12-19	股权激励	风格板块	28	288.34	245.75	5747.17	5053.83
880540.TDX	2025-12-19	创投概念	概念板块	438	5662.73	5426.26	80058.71	76585.08
880541.TDX	2025-12-19	AI手机PC	概念板块	63	507.37	471.79	14474.81	12540.54
880542.TDX	2025-12-19	水利建设	概念板块	242	4159.87	3927.8	38508.62	36202.76
880543.TDX	2025-12-19	外资背景	风格板块	42	422.52	368.96	12127.9	10545.21
880544.TDX	2025-12-19	光伏	概念板块	638	9459.01	8408.0	107614.38	94746.9
880545.TDX	2025-12-19	云计算	概念板块	206	3026.05	2933.74	56420.06	54033.6
880546.TDX	2025-12-19	卫星导航	概念板块	229	1880.67	1746.11	31094.55	27532.29
880547.TDX	2025-12-19	玻璃基板	概念板块	22	113.28	103.32	2675.85	2274.49
880548.TDX	2025-12-19	商业航天	概念板块	374	4053.11	3795.78	65872.09	58803.77
880549.TDX	2025-12-19	可燃冰	概念板块	25	1434.34	1398.53	9764.23	9265.88
880550.TDX	2025-12-19	PCB概念	概念板块	177	1309.42	1143.58	32262.32	28166.2
880551.TDX	2025-12-19	大基金持股	风格板块	52	454.77	406.56	26438.35	24110.74
880552.TDX	2025-12-19	车联网	概念板块	291	2805.29	2562.75	53925.18	47786.63
880553.TDX	2025-12-19	页岩气	概念板块	46	3583.63	3498.3	27544.5	26862.56
880554.TDX	2025-12-19	科创板次新	风格板块	16	114.93	8.54	10878.87	782.15
880555.TDX	2025-12-19	财税数字化	概念板块	67	481.9	454.06	7602.42	6995.97
880557.TDX	2025-12-19	生物疫苗	概念板块	70	745.31	697.36	10705.05	9948.13
880558.TDX	2025-12-19	节能环保	概念板块	344	2969.74	2720.49	31080.44	27899.8
880559.TDX	2025-12-19	要约收购	风格板块	15	101.51	98.48	1703.49	1652.06
880560.TDX	2025-12-19	高端装备	概念板块	346	3941.36	3618.06	55905.44	49437.28
880561.TDX	2025-12-19	折叠屏	概念板块	115	1602.82	1414.23	17275.42	15684.07
880562.TDX	2025-12-19	高校背景	风格板块	41	406.14	397.81	7390.48	7110.66
880563.TDX	2025-12-19	食品安全	概念板块	63	574.53	539.05	5716.5	5184.1
880564.TDX	2025-12-19	白酒概念	概念板块	51	523.91	521.51	32408.94	32380.55
880565.TDX	2025-12-19	送转潜力	风格板块	166	222.36	154.77	8701.95	5626.21
880566.TDX	2025-12-19	AI眼镜	概念板块	172	1870.88	1707.21	39348.04	35415.28
880567.TDX	2025-12-19	海南自贸	概念板块	47	1348.32	1198.78	7916.66	7286.18
880568.TDX	2025-12-19	生物质能	概念板块	61	716.11	677.71	5980.65	5603.78
880569.TDX	2025-12-19	3D打印	概念板块	125	1007.56	925.84	18948.76	16890.69
880570.TDX	2025-12-19	高应收款	风格板块	200	14796.28	13954.53	212067.59	198330.8
880571.TDX	2025-12-19	碳纤维	概念板块	64	691.2	662.85	11466.83	10794.47
880572.TDX	2025-12-19	新零售	概念板块	331	3363.79	3147.38	38312.04	35837.07
880573.TDX	2025-12-19	摘帽	风格板块	49	685.36	575.59	4581.4	4088.92
880574.TDX	2025-12-19	苹果概念	概念板块	143	1996.52	1813.8	45460.1	42706.33
880575.TDX	2025-12-19	地热能	概念板块	20	403.89	399.88	2637.76	2596.16
880576.TDX	2025-12-19	并购重组股	风格板块	115	2382.39	1941.27	28703.22	22709.07
880577.TDX	2025-12-19	安防服务	概念板块	119	1122.24	1027.75	18625.02	17292.37
880578.TDX	2025-12-19	专项贷款	风格板块	481	9929.51	9432.75	116918.95	109579.2
880579.TDX	2025-12-19	智谱AI	概念板块	67	571.99	535.8	9845.39	9314.4
880580.TDX	2025-12-19	智能交通	概念板块	213	1889.82	1744.56	27213.06	23238.11
880581.TDX	2025-12-19	控制权变更	风格板块	150	955.03	914.05	11588.75	11129.29
880582.TDX	2025-12-19	风电	概念板块	404	8552.31	7513.01	80672.6	71315.87
880583.TDX	2025-12-19	充电桩	概念板块	376	4780.88	4462.39	70523.26	62323.6
880584.TDX	2025-12-19	石墨烯	概念板块	95	1139.98	1093.19	15272.54	14398.64
880585.TDX	2025-12-19	风沙治理	概念板块	11	117.08	113.46	691.34	672.54
880586.TDX	2025-12-19	土地流转	概念板块	33	660.47	602.73	3340.85	3043.61
880587.TDX	2025-12-19	聚氨酯	概念板块	37	361.68	349.0	6518.99	6265.38
880589.TDX	2025-12-19	智能穿戴	概念板块	235	2692.27	2422.79	51532.92	45204.64
880590.TDX	2025-12-19	网络游戏	概念板块	103	1357.05	1276.83	16091.69	15018.78
880591.TDX	2025-12-19	上海自贸	概念板块	84	1857.52	1750.0	22929.85	20316.47
880592.TDX	2025-12-19	互联金融	概念板块	208	2225.06	2073.95	27860.95	24659.21
880593.TDX	2025-12-19	婴童概念	概念板块	209	1442.27	1308.83	17265.94	15667.42
880594.TDX	2025-12-19	一带一路	概念板块	729	16552.98	15597.76	156263.36	144813.91
880596.TDX	2025-12-19	体育概念	概念板块	123	1535.43	1455.94	12363.46	11471.61
880597.TDX	2025-12-19	养老概念	概念板块	198	2358.39	2204.84	20766.68	18593.86
880598.TDX	2025-12-19	博彩概念	概念板块	19	146.72	138.23	1421.21	1327.7
880599.TDX	2025-12-19	民营医院	概念板块	76	1342.35	1282.0	8891.05	8378.24
880601.TDX	2025-12-19	智慧政务	概念板块	212	1377.15	1267.82	21035.59	18919.95
880602.TDX	2025-12-19	免税概念	概念板块	49	1362.84	1273.05	10931.84	10407.32
880603.TDX	2025-12-19	新进指标股	风格板块	24	852.47	416.22	16066.66	11810.68
880604.TDX	2025-12-19	PVDF概念	概念板块	16	235.79	230.83	4157.09	4068.79
880605.TDX	2025-12-19	装配式建筑	概念板块	108	1817.07	1764.3	10904.64	10364.2
880606.TDX	2025-12-19	辅助生殖	概念板块	74	552.28	521.63	10444.58	9973.14
880607.TDX	2025-12-19	东数西算	概念板块	340	3451.76	3206.0	78034.21	72572.01
880608.TDX	2025-12-19	第三代半导体	概念板块	161	1101.08	975.66	30388.32	27541.88
880609.TDX	2025-12-19	跨境支付CIPS	概念板块	76	11277.46	10552.82	97681.91	92218.05
880610.TDX	2025-12-19	中俄贸易	概念板块	176	1704.89	1599.73	14726.25	13134.32
880611.TDX	2025-12-19	核污染防治	概念板块	61	1053.98	966.19	8318.13	7299.46
880612.TDX	2025-12-19	镍金属	概念板块	44	1372.25	1280.46	15924.11	14718.68
880613.TDX	2025-12-19	电子身份证	概念板块	44	231.78	206.53	3731.2	3274.78
880614.TDX	2025-12-19	绿色建筑	概念板块	73	1079.45	1040.23	9207.95	8927.43
880615.TDX	2025-12-19	家庭医生	概念板块	24	377.79	369.4	10954.0	10816.61
880616.TDX	2025-12-19	大飞机	概念板块	141	1706.05	1535.43	27211.13	23875.17
880617.TDX	2025-12-19	IP经济	概念板块	180	1863.1	1702.04	17490.08	15993.53
880618.TDX	2025-12-19	化肥概念	概念板块	64	859.23	798.96	10629.54	10067.12
880619.TDX	2025-12-19	业绩预增	风格板块	6	79.66	74.48	4458.27	4213.96
880620.TDX	2025-12-19	券商金股	风格板块	32	1287.39	1259.19	85219.45	83357.33
880621.TDX	2025-12-19	NFT概念	概念板块	72	925.59	851.57	8588.29	7849.91
880622.TDX	2025-12-19	破增发价	风格板块	35	640.09	585.93	6818.47	6271.13
880623.TDX	2025-12-19	肝炎概念	概念板块	137	964.16	869.26	14567.29	13199.95
880624.TDX	2025-12-19	新型城镇	概念板块	207	2512.43	2354.9	13905.14	12566.79
880626.TDX	2025-12-19	粮食概念	概念板块	47	418.52	375.05	2858.98	2542.71
880627.TDX	2025-12-19	超临界发电	概念板块	85	2860.4	2618.35	17260.52	15790.54
880628.TDX	2025-12-19	钒电池	概念板块	29	1015.6	997.58	6476.23	6141.47
880629.TDX	2025-12-19	MicroLED	概念板块	44	677.33	595.29	7382.64	6050.21
880630.TDX	2025-12-19	虚拟电厂	概念板块	133	1772.11	1662.8	21846.56	19293.08
880631.TDX	2025-12-19	一体压铸	概念板块	57	498.56	462.76	9150.51	8404.1
880632.TDX	2025-12-19	动力电池回收	概念板块	88	1395.09	1268.81	40514.34	36069.13
880633.TDX	2025-12-19	汽车热管理	概念板块	130	853.08	785.39	22355.3	20392.46
880634.TDX	2025-12-19	含GDR	概念板块	23	849.51	827.02	20757.43	20312.87
880635.TDX	2025-12-19	先进封装	概念板块	145	859.42	787.08	37023.58	34183.18
880636.TDX	2025-12-19	热泵概念	概念板块	48	499.09	454.73	14490.88	13782.34
880637.TDX	2025-12-19	EDA概念	概念板块	17	164.12	140.78	4046.74	3782.5
880638.TDX	2025-12-19	TOPCon电池	概念板块	62	751.93	702.65	10682.25	9637.59
880639.TDX	2025-12-19	光热发电	概念板块	34	649.82	631.54	4820.02	4506.74
880642.TDX	2025-12-19	供销社	概念板块	19	287.13	248.83	1858.29	1669.18
880643.TDX	2025-12-19	Web3概念	概念板块	66	535.13	518.26	7342.22	7076.47
880644.TDX	2025-12-19	DRG-DIP	概念板块	21	174.04	164.84	1845.02	1730.82
880645.TDX	2025-12-19	AIGC概念	概念板块	267	2594.08	2360.09	42691.8	37923.62
880646.TDX	2025-12-19	复合铜箔	概念板块	46	411.1	391.69	6896.92	6308.7
880647.TDX	2025-12-19	数据确权	概念板块	66	535.4	512.98	6205.09	5891.79
880648.TDX	2025-12-19	私募新进	风格板块	333	3009.92	2775.29	35105.87	29021.66
880649.TDX	2025-12-19	POE胶膜	概念板块	27	444.77	434.06	7505.78	7350.36
880650.TDX	2025-12-19	血氧仪	概念板块	31	220.24	195.52	6464.62	6076.37
880651.TDX	2025-12-19	旅游概念	概念板块	147	1796.02	1673.12	15927.13	14773.87
880652.TDX	2025-12-19	创新药	概念板块	268	2075.72	1938.74	42532.04	38400.37
880653.TDX	2025-12-19	私募重仓	风格板块	200	5095.24	4924.88	66236.45	63448.79
880654.TDX	2025-12-19	ChatGPT概念	概念板块	137	1249.4	1155.6	21389.17	18928.43
880655.TDX	2025-12-19	钙钛矿电池	概念板块	65	1183.25	1125.04	11878.67	11009.55
880656.TDX	2025-12-19	CPO概念	概念板块	136	1352.16	1295.15	63419.21	60239.07
880657.TDX	2025-12-19	数字水印	概念板块	31	196.4	181.76	2187.77	1991.78
880658.TDX	2025-12-19	高压快充	概念板块	107	717.48	646.99	17635.8	14693.55
880659.TDX	2025-12-19	毫米波雷达	概念板块	122	988.85	903.12	26392.77	23926.52
880660.TDX	2025-12-19	工业软件	概念板块	35	225.92	210.41	6671.5	6150.98
880661.TDX	2025-12-19	6G概念	概念板块	80	1726.52	1671.5	24374.54	23312.65
880662.TDX	2025-12-19	时空大数据	概念板块	46	359.6	328.64	4262.4	3807.73
880664.TDX	2025-12-19	机器视觉	概念板块	238	1448.94	1290.34	36452.96	32131.64
