file,suggested_domain
token_budget.py,D-GOVERNANCE-BUDGET_ENFORCEMENT
llm_bridge.py,D-INTEGRATION-GATEWAY
mcp_server.py,D-INTEGRATION-GATEWAY
model_provider_data.py,D-INTEGRATION-GATEWAY
model_router.py,D-INTEGRATION-GATEWAY
provider_base.py,D-INTEGRATION-GATEWAY
provider_failover.py,D-INTEGRATION-GATEWAY
bus_factor_defense.py,D-INTELLIGENCE
factor_base.py,D-INTELLIGENCE
human_factors.py,D-INTELLIGENCE
model_drift_detector.py,D-INTELLIGENCE
model_version_detector.py,D-INTELLIGENCE
momentum_factor.py,D-INTELLIGENCE
thematic_clusterer.py,D-INTELLIGENCE
value_factor.py,D-INTELLIGENCE
market_data.py,D-MKT_DATA
market_data_pipeline.py,D-MKT_DATA
pricing_sync.py,D-MKT_DATA
realtime_streaming.py,D-MKT_DATA
meta_observability.py,D-OPS
observability_dashboard.py,D-OPS
ops_foundation.py,D-OPS
performance_attribution_report.py,D-OPS
roi_calculator.py,D-OPS
slo_contract.py,D-OPS
tco_model.py,D-OPS
telemetry.py,D-OPS
_circuit_breaker.py,D-RESILIENCE
auto_rollback_trigger.py,D-RESILIENCE
circuit_breaker.py,D-RESILIENCE
circuit_breaker_repo.py,D-RESILIENCE
circuit_breaker_types.py,D-RESILIENCE
kill_switch.py,D-RESILIENCE
knowngoodstate_ledger.py,D-RESILIENCE
last_resort_watchdog.py,D-RESILIENCE
recovery_manifest_writer.py,D-RESILIENCE
rollback_abuse_detector.py,D-RESILIENCE
rollback_audit_nexus.py,D-RESILIENCE
rollback_bootstrap.py,D-RESILIENCE
rollback_budget.py,D-RESILIENCE
rollback_context_restorer.py,D-RESILIENCE
rollback_dashboard.py,D-RESILIENCE
rollback_drill.py,D-RESILIENCE
rollback_executor.py,D-RESILIENCE
rollback_integration.py,D-RESILIENCE
rollback_lock.py,D-RESILIENCE
rollback_loop_detector.py,D-RESILIENCE
rollback_simulator.py,D-RESILIENCE
rollback_state_machine.py,D-RESILIENCE
rollback_target_staleness.py,D-RESILIENCE
rollback_verifier.py,D-RESILIENCE
rollback_wal.py,D-RESILIENCE
semantic_rollback_tag.py,D-RESILIENCE
trading_kill_switch.py,D-RESILIENCE
warm_standby.py,D-RESILIENCE
witness_isolation.py,D-RESILIENCE
oms_risk_engine.py,D-RISK
risk_limits.py,D-RISK
risk_matrix.py,D-RISK
risk_mitigation_tracker.py,D-RISK
risk_mitigator.py,D-RISK
api_response_sanitizer.py,D-SECURITY
default_security_gateway.py,D-SECURITY
memory_poison_guard.py,D-SECURITY
persuasion_detector.py,D-SECURITY
poison_cascade_detector.py,D-SECURITY
privacy.py,D-SECURITY
right_to_be_forgotten.py,D-SECURITY
sandbox_enforcer.py,D-SECURITY
sbom_generator.py,D-SECURITY
sbom_guard.py,D-SECURITY
secret_rotation_aware.py,D-SECURITY
security_config_scanner.py,D-SECURITY
security_gateway_base.py,D-SECURITY
supply_chain.py,D-SECURITY
supply_chain_security.py,D-SECURITY
vibe_security_verify.py,D-SECURITY
vulnerability_rescanner.py,D-SECURITY
default_equity_strategy.py,D-STRATEGY
strategy_base.py,D-STRATEGY
strategy_portfolio.py,D-STRATEGY
strategy_registry.py,D-STRATEGY
strategy_scoper.py,D-STRATEGY
