recipe_id,birth_batch,values_json,is_sharpe,is_window,dsr_eff,dsr_raw,n_trials_eff,n_trials_raw,oos_sharpe,oos_max_drawdown,oos_window,mechanism,exam_status,dedup,wfa_folds,exam_archive
IND-STAT-001-CORREL,P3-B2-L1-20260919,"{""column"": ""correl_30"", ""cost_tier"": ""engine frozen (2.5bp/10bp/5bp)"", ""direction"": ""long_low"", ""exdiv_exclusion"": ""event D..D+1 no-formation"", ""factor_source"": ""REG-IND-001 c1_market.technical_indicator"", ""rebalance"": ""daily_close_Tplus1"", ""top_n"": 50, ""universe"": ""all_ti_daily""}",-0.606,2021-01-04;2026-09-14,0.6223,,3,,0.718,-0.514,2024-01-02;2026-09-14,close×volume 30 日相关低=量价背离结构占优,E4=不通过,,8,D:\ZephyrAlpha\data\backtest_artifacts\runs\E4-BIZMINE-L1-IND-STAT-001-CORREL
IND-STAT-002-BETA,P3-B2-L1-20260919,"{""column"": ""beta_30"", ""cost_tier"": ""engine frozen (2.5bp/10bp/5bp)"", ""direction"": ""long_low"", ""exdiv_exclusion"": ""event D..D+1 no-formation"", ""factor_source"": ""REG-IND-001 c1_market.technical_indicator"", ""rebalance"": ""daily_close_Tplus1"", ""top_n"": 50, ""universe"": ""all_ti_daily""}",-0.507,2021-01-04;2026-09-14,0.6348,,3,,0.73,-0.5052,2024-01-02;2026-09-14,"close 对 volume 30 日 beta 低=量敏感度低, 挤压风险小",E4=不通过,,8,D:\ZephyrAlpha\data\backtest_artifacts\runs\E4-BIZMINE-L1-IND-STAT-002-BETA
